Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2019-11-30,15:00,Premier League,Matchweek 14,Sat,Home,W,2,1,Brighton,1.3,0.8,44.0,53319.0,Jordan Henderson,4-3-3,4-3-2-1,Martin Atkinson,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,7.0,46.7,0.13,0.29,15.2,5.0,4.0,66.7,0.8,-0.3,413.0,520.0,79.4,7721.0,2370.0,2,0.9,0.9,0.0,32.0,8.0,26.0,13.0,12.0,1.0,4.0,23.0,3.0,11.0,5.0,6.0,2.0,12.0,11.0,20.0,1.0,134.0,26.0,15.0,13.0,3.0,3.0,1.0,51.0,40.0
2019-12-04,20:15,Premier League,Matchweek 15,Wed,Home,W,5,2,Everton,2.0,1.5,58.0,53094.0,James Milner,4-2-3-1,5-4-1,Mike Dean,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,11.0,5.0,45.5,0.45,1.0,15.0,4.0,2.0,50.0,1.1,-0.9,433.0,548.0,79.0,7664.0,2743.0,5,2.0,1.4,1.0,36.0,10.0,29.0,6.0,12.0,5.0,5.0,21.0,10.0,15.0,11.0,7.0,0.0,7.0,7.0,26.0,0.0,118.0,22.0,11.0,17.0,11.0,13.0,3.0,48.0,48.1
2019-12-07,15:00,Premier League,Matchweek 16,Sat,Away,W,3,0,Bournemouth,2.4,0.1,73.0,10832.0,Jordan Henderson,4-3-3,4-4-2,Chris Kavanagh,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,21.0,9.0,42.9,0.14,0.33,15.9,0.0,0.0,,0.0,0.0,787.0,905.0,87.0,12888.0,3782.0,3,2.3,1.5,2.0,78.0,18.0,60.0,10.0,24.0,4.0,3.0,38.0,5.0,10.0,5.0,3.0,3.0,9.0,8.0,5.0,0.0,237.0,24.0,30.0,15.0,7.0,6.0,1.0,69.0,48.3
2019-12-10,18:55,Champions Lg,Group stage,Tue,Away,W,2,0,at RB Salzburg,3.4,0.7,57.0,29520.0,Jordan Henderson,4-3-3,4-1-2-1-2,Danny Makkelie,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,22.0,7.0,31.8,0.09,0.29,16.5,7.0,7.0,100.0,0.9,0.9,507.0,635.0,79.8,9083.0,3292.0,1,3.1,1.6,2.0,41.0,16.0,31.0,13.0,15.0,5.0,4.0,37.0,3.0,15.0,9.0,12.0,0.0,5.0,12.0,19.0,0.0,177.0,21.0,11.0,13.0,6.0,4.0,1.0,71.0,52.2
2019-12-14,12:30,Premier League,Matchweek 17,Sat,Home,W,2,0,Watford,1.4,1.0,68.0,53311.0,Jordan Henderson,4-2-3-1,4-2-3-1,Andre Marriner,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,16.0,6.0,37.5,0.13,0.33,16.4,2.0,2.0,100.0,0.2,0.2,571.0,713.0,80.1,10233.0,3653.0,2,1.0,0.9,0.0,52.0,7.0,53.0,6.0,22.0,4.0,6.0,25.0,3.0,14.0,8.0,4.0,4.0,3.0,9.0,14.0,0.0,182.0,31.0,23.0,22.0,6.0,8.0,5.0,58.0,69.4
2019-12-17,19:45,EFL Cup,Quarter-finals,Tue,Away,L,0,5,Aston Villa,,,57.0,30323.0,Pedro Chirivella,4-3-3,4-3-3,Lee Mason,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,15.0,8.0,53.3,0.0,0.0,,8.0,3.0,37.5,,,,,,,,0,,,,,,,,12.0,,,,,,6.0,,,,11.0,,,,,,,,8.0,1.0,,
2019-12-26,20:00,Premier League,Matchweek 19,Thu,Away,W,4,0,Leicester City,3.2,0.1,59.0,32211.0,Jordan Henderson,4-3-3,4-1-4-1,Michael Oliver,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,14.0,5.0,35.7,0.21,0.6,14.4,0.0,0.0,,0.0,0.0,540.0,655.0,82.4,9380.0,3102.0,3,2.1,1.7,10.0,39.0,13.0,37.0,13.0,33.0,2.0,8.0,26.0,7.0,10.0,8.0,5.0,2.0,4.0,8.0,17.0,0.0,200.0,27.0,30.0,20.0,11.0,7.0,3.0,63.0,54.2
2019-12-29,16:30,Premier League,Matchweek 20,Sun,Home,W,1,0,Wolves,1.2,0.5,62.0,53326.0,Jordan Henderson,4-2-3-1,3-5-2,Anthony Taylor,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,10.0,3.0,30.0,0.1,0.33,14.4,2.0,2.0,100.0,0.2,0.2,554.0,658.0,84.2,9273.0,3029.0,1,1.2,0.9,1.0,42.0,9.0,34.0,6.0,18.0,0.0,5.0,19.0,2.0,19.0,7.0,6.0,3.0,8.0,12.0,17.0,1.0,171.0,21.0,19.0,20.0,15.0,7.0,2.0,58.0,40.9
2020-01-02,20:00,Premier League,Matchweek 21,Thu,Home,W,2,0,Sheffield Utd,2.8,0.6,74.0,53321.0,Jordan Henderson,4-3-3,3-5-2,Paul Tierney,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,19.0,7.0,36.8,0.11,0.29,15.1,2.0,2.0,100.0,0.8,0.8,902.0,1019.0,88.5,15798.0,4088.0,1,2.4,2.1,1.0,50.0,16.0,43.0,9.0,24.0,2.0,8.0,35.0,3.0,6.0,4.0,3.0,0.0,2.0,9.0,9.0,1.0,242.0,29.0,26.0,5.0,9.0,5.0,1.0,59.0,64.3
2020-01-05,16:01,FA Cup,Third round,Sun,Home,W,1,0,Everton,,,57.0,52583.0,James Milner,4-3-3,3-4-3,Jonathan Moss,Match Report,,2019-2020,premier_league,9,2019-2020 Liverpool,12.0,5.0,41.7,0.08,0.2,,3.0,3.0,100.0,,,,,,,,1,,,,,,,,30.0,,,,,,8.0,,,,6.0,,,,,,,,5.0,0.0,,
