season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,Xg,Xga,Sota,Saves,Save%,Psxg,Psxg+/-,Cmp,Att,Cmp%,Totdist,Prgdist,Ast,Xag,Xa,Crspa,Prgp,Kp,Pass_3rd,Sw,Crs,Tb,Ck,Sca,Gca,Tkl,Tklw,Tkl_def_3rd,Tkl_att_3rd,Blocks,Int,Clr,Err,Touches_att_3rd,Prgc,Carries_att_3rd,Mis,Dis,Fls,Off,Recov,Won%,xG,xGA,SoTA,PSxG,PSxG+/-,TotDist,PrgDist,xAG,xA,CrsPA,PrgP,KP,pass_3rd,TB,CK,SCA,GCA,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Touches_Att_3rd,PrgC,Carries_Att_3rd,Opp Formation
2014,2014-09-17,19:30,Série A,Matchweek 22,Wed,Home,W,2,0,Ath Paranaense,,17850.0,,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-09-21,16:00,Série A,Matchweek 23,Sun,Home,L,2,3,Atlético Mineiro,,49534.0,,4-2-3-1,Marcelo de Lima Henrique,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-09-24,19:30,Série A,Matchweek 24,Wed,Away,W,2,1,Coritiba,,9521.0,,4-2-3-1,Vinicius Furlan,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-09-27,18:30,Série A,Matchweek 25,Sat,Away,D,0,0,Sport Recife,,22248.0,,4-2-3-1,Marielson Alves Silva,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-04,18:30,Série A,Matchweek 26,Sat,Home,W,2,1,Internacional,,51994.0,,4-2-3-1,Marcelo de Lima Henrique,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-08,22:00,Série A,Matchweek 27,Wed,Home,L,0,1,Corinthians,,32958.0,,4-2-3-1,Leandro Pedro Vuaden,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-12,16:00,Série A,Matchweek 28,Sun,Away,L,0,3,Flamengo,,42171.0,,4-3-2-1,Francisco Carlos do Nascimento,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-19,17:30,Série A,Matchweek 29,Sun,Away,W,1,0,Vitória,,18366.0,,4-2-3-1,Raphael Claus,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-22,19:30,Série A,Matchweek 30,Wed,Home,D,1,1,Palmeiras,,26944.0,,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-10-25,16:20,Série A,Matchweek 31,Sat,Away,D,1,1,Figueirense,,7843.0,,4-2-3-1,Pablo Dos Santos Alves,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014-11-02,17:00,Série A,Matchweek 32,Sun,Home,W,2,1,Botafogo (RJ),,36004.0,,4-2-2-2,Elmo Alves Resende Cunha,Match Report,,brasileirao,24,cruzeiro,03ff5eeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
