season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,Xg,Xga,Sota,Saves,Save%,Psxg,Psxg+/-,Cmp,Att,Cmp%,Totdist,Prgdist,Ast,Xag,Xa,Crspa,Prgp,Kp,Pass_3rd,Sw,Crs,Tb,Ck,Sca,Gca,Tkl,Tklw,Tkl_def_3rd,Tkl_att_3rd,Blocks,Int,Clr,Err,Touches_att_3rd,Prgc,Carries_att_3rd,Mis,Dis,Fls,Off,Recov,Won%,xG,xGA,SoTA,PSxG,PSxG+/-,TotDist,PrgDist,xAG,xA,CrsPA,PrgP,KP,pass_3rd,TB,CK,SCA,GCA,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Touches_Att_3rd,PrgC,Carries_Att_3rd,Opp Formation
2020,2020-09-06,16:00,Série A,Matchweek 8,Sun,Away,L,1,3,São Paulo,49.0,,Nenê,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,brasileirao,24,fluminense,84d9701c,10.0,4.0,40.0,0.1,0.25,23.2,,,,0.0,0.0,,,385.0,490.0,78.6,,,1.0,,,,,,,2.0,13.0,,,,,10.0,,,,13.0,11.0,15.0,1.0,,,,13.0,5.0,13.0,2.0,47.0,34.8,0.4,1.6,3.0,2.0,-1.0,7084.0,2457.0,0.2,0.2,1.0,32.0,4.0,35.0,0.0,2.0,15.0,2.0,4.0,3.0,1.0,76.0,12.0,3.0,
2020,2020-09-09,21:30,Série A,Matchweek 9,Wed,Home,L,1,2,Flamengo,47.0,,Digão,4-1-4-1,Raphael Claus,Match Report,,brasileirao,24,fluminense,84d9701c,17.0,3.0,17.6,0.06,0.33,24.2,,,,4.0,66.7,,,397.0,491.0,80.9,,,1.0,,,,,,,9.0,24.0,,,,,17.0,,,,10.0,8.0,11.0,0.0,,,,19.0,16.0,15.0,1.0,54.0,45.0,0.6,1.8,6.0,1.2,-0.8,6906.0,2385.0,0.6,0.4,1.0,32.0,15.0,42.0,0.0,7.0,31.0,2.0,11.0,7.0,2.0,148.0,18.0,18.0,
2020,2020-09-13,16:00,Série A,Matchweek 10,Sun,Home,W,2,1,Corinthians,48.0,,Hudson,4-2-3-1,Braulio da Silva Machado,Match Report,,brasileirao,24,fluminense,84d9701c,14.0,2.0,14.3,0.07,0.5,20.8,,,,2.0,66.7,,,318.0,387.0,82.2,,,0.0,,,,,,,5.0,14.0,,,,,22.0,,,,7.0,9.0,18.0,0.0,,,,22.0,8.0,14.0,0.0,40.0,44.4,1.4,0.7,3.0,1.3,0.3,5559.0,2017.0,0.4,0.6,4.0,34.0,8.0,24.0,0.0,5.0,26.0,2.0,11.0,8.0,6.0,137.0,17.0,8.0,
2020,2020-09-20,20:30,Série A,Matchweek 11,Sun,Away,L,0,1,Sport Recife,73.0,,Hudson,4-1-2-1-2◆,Leandro Pedro Vuaden,Match Report,,brasileirao,24,fluminense,84d9701c,18.0,4.0,22.2,0.0,0.0,13.9,,,,2.0,100.0,,,649.0,765.0,84.8,,,0.0,,,,,,,7.0,29.0,,,,,17.0,,,,10.0,14.0,5.0,0.0,,,,15.0,15.0,9.0,3.0,46.0,48.1,1.9,1.3,3.0,1.0,0.0,11029.0,3031.0,1.9,1.7,3.0,80.0,16.0,66.0,0.0,8.0,32.0,0.0,8.0,4.0,10.0,280.0,22.0,19.0,
2020,2020-09-28,20:00,Série A,Matchweek 12,Mon,Home,W,4,0,Coritiba,43.0,,Fred,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,brasileirao,24,fluminense,84d9701c,14.0,6.0,42.9,0.21,0.5,19.3,,,,1.0,100.0,,,361.0,444.0,81.3,,,3.0,,,,,,,3.0,17.0,,,,,11.0,,,,12.0,9.0,21.0,0.0,,,,14.0,7.0,16.0,0.0,46.0,60.7,2.5,1.0,1.0,0.2,0.2,6656.0,2354.0,1.7,0.7,1.0,27.0,12.0,28.0,1.0,5.0,27.0,7.0,7.0,1.0,0.0,106.0,15.0,14.0,
2020,2020-10-04,11:00,Série A,Matchweek 13,Sun,Away,D,1,1,Botafogo (RJ),48.0,,Fred,4-2-3-1,Anderson Daronco,Match Report,,brasileirao,24,fluminense,84d9701c,8.0,5.0,62.5,0.0,0.0,20.5,,,,6.0,85.7,,,307.0,400.0,76.8,,,0.0,,,,,,,4.0,15.0,,,,,16.0,,,,8.0,11.0,32.0,0.0,,,,15.0,9.0,21.0,2.0,46.0,52.8,0.4,2.2,7.0,2.2,1.2,5377.0,1891.0,0.3,0.3,1.0,30.0,6.0,26.0,0.0,4.0,13.0,0.0,9.0,10.0,0.0,87.0,16.0,4.0,
2020,2020-10-07,20:30,Série A,Matchweek 14,Wed,Away,W,4,2,Goiás,57.0,,Fred,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,brasileirao,24,fluminense,84d9701c,10.0,5.0,50.0,0.4,0.8,14.9,,,,1.0,66.7,,,420.0,515.0,81.6,,,3.0,,,,,,,8.0,20.0,,,,,15.0,,,,7.0,9.0,16.0,0.0,,,,17.0,5.0,15.0,4.0,38.0,42.9,1.1,1.8,3.0,1.6,-0.4,8192.0,2561.0,0.4,0.9,3.0,37.0,7.0,28.0,2.0,4.0,17.0,6.0,9.0,6.0,1.0,110.0,11.0,8.0,
2020,2020-10-11,16:00,Série A,Matchweek 15,Sun,Home,W,1,0,Bahia,48.0,,Fred,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,brasileirao,24,fluminense,84d9701c,7.0,1.0,14.3,0.0,0.0,24.9,,,,1.0,100.0,,,332.0,443.0,74.9,,,0.0,,,,,,,3.0,21.0,,,,,18.0,,,,11.0,13.0,19.0,0.0,,,,14.0,12.0,26.0,0.0,50.0,44.1,1.1,0.6,1.0,0.0,0.0,6386.0,2211.0,0.3,0.4,3.0,34.0,7.0,34.0,0.0,3.0,14.0,2.0,12.0,9.0,2.0,128.0,17.0,13.0,
2020,2020-10-14,21:30,Série A,Matchweek 16,Wed,Away,D,1,1,Atlético Mineiro,35.0,,Hudson,4-3-3,Raphael Claus,Match Report,,brasileirao,24,fluminense,84d9701c,11.0,3.0,27.3,0.09,0.33,20.1,,,,7.0,87.5,,,225.0,335.0,67.2,,,1.0,,,,,,,7.0,18.0,,,,,21.0,,,,11.0,23.0,31.0,0.0,,,,12.0,17.0,9.0,3.0,51.0,66.7,0.7,2.2,8.0,2.3,1.3,4051.0,1773.0,0.3,0.4,1.0,28.0,6.0,20.0,0.0,4.0,17.0,2.0,14.0,11.0,2.0,114.0,13.0,10.0,
2020,2020-10-17,19:00,Série A,Matchweek 17,Sat,Home,D,2,2,Ceará,58.0,,Fred,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,,brasileirao,24,fluminense,84d9701c,6.0,3.0,50.0,0.33,0.67,14.4,,,,3.0,50.0,,,474.0,576.0,82.3,,,2.0,,,,,,,4.0,19.0,,,,,16.0,,,,13.0,13.0,17.0,1.0,,,,19.0,15.0,17.0,2.0,57.0,60.5,0.8,1.5,4.0,1.7,0.7,8579.0,2667.0,0.8,0.9,5.0,50.0,5.0,36.0,0.0,4.0,8.0,4.0,10.0,9.0,1.0,120.0,11.0,15.0,
2020,2020-10-25,16:00,Série A,Matchweek 18,Sun,Home,W,3,1,Santos,48.0,,Fred,4-3-3,Anderson Daronco,Match Report,,brasileirao,24,fluminense,84d9701c,19.0,8.0,42.1,0.16,0.38,18.4,,,,1.0,50.0,,,228.0,314.0,72.6,,,3.0,,,,,,,2.0,19.0,,,,,9.0,,,,5.0,8.0,22.0,0.0,,,,11.0,25.0,13.0,2.0,43.0,67.7,1.7,0.9,2.0,0.8,-0.2,4118.0,1719.0,1.4,1.3,1.0,23.0,10.0,19.0,0.0,10.0,30.0,6.0,6.0,4.0,1.0,113.0,12.0,9.0,
2020,2020-10-31,21:00,Série A,Matchweek 19,Sat,Away,W,1,0,Fortaleza,56.0,,Hudson,4-4-2,Marielson Alves Silva,Match Report,,brasileirao,24,fluminense,84d9701c,11.0,4.0,36.4,0.09,0.25,18.3,,,,1.0,100.0,,,444.0,529.0,83.9,,,0.0,,,,,,,5.0,28.0,,,,,17.0,,,,5.0,10.0,10.0,0.0,,,,12.0,14.0,18.0,1.0,37.0,51.6,0.9,0.2,1.0,0.0,0.0,7966.0,2098.0,0.8,0.7,1.0,34.0,7.0,35.0,0.0,7.0,19.0,2.0,9.0,6.0,5.0,163.0,13.0,16.0,
2020,2020-11-08,20:30,Série A,Matchweek 20,Sun,Home,L,0,1,Grêmio,58.0,,Fred,4-2-3-1,Edina Alves Batista,Match Report,,brasileirao,24,fluminense,84d9701c,12.0,4.0,33.3,0.0,0.0,16.8,,,,3.0,75.0,,,518.0,604.0,85.8,,,0.0,,,,,,,2.0,12.0,,,,,16.0,,,,4.0,10.0,10.0,0.0,,,,14.0,14.0,12.0,1.0,40.0,72.0,0.6,1.8,4.0,2.0,1.0,9542.0,3262.0,0.6,0.8,0.0,55.0,11.0,53.0,0.0,4.0,22.0,0.0,12.0,9.0,2.0,143.0,10.0,10.0,
2020,2020-11-14,21:30,Série A,Matchweek 21,Sat,Away,L,0,2,Palmeiras,49.0,,Hudson,4-3-3,Leandro Pedro Vuaden,Match Report,,brasileirao,24,fluminense,84d9701c,15.0,5.0,33.3,0.0,0.0,23.0,,,,3.0,80.0,,,396.0,486.0,81.5,,,0.0,,,,,,,4.0,21.0,,,,,18.0,,,,3.0,7.0,13.0,0.0,,,,13.0,7.0,8.0,3.0,48.0,50.0,0.5,1.4,5.0,1.5,-0.5,7394.0,2574.0,0.5,0.3,3.0,37.0,13.0,37.0,0.0,5.0,28.0,0.0,12.0,9.0,1.0,113.0,21.0,9.0,
2020,2020-11-22,18:15,Série A,Matchweek 22,Sun,Away,W,2,1,Internacional,49.0,,Digão,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,brasileirao,24,fluminense,84d9701c,7.0,2.0,28.6,0.29,1.0,23.8,,,,3.0,75.0,,,381.0,486.0,78.4,,,1.0,,,,,,,3.0,12.0,,,,,17.0,,,,10.0,18.0,26.0,0.0,,,,16.0,7.0,20.0,0.0,47.0,57.1,0.7,0.8,4.0,1.1,0.1,7063.0,2535.0,0.6,0.4,0.0,34.0,5.0,31.0,1.0,3.0,12.0,4.0,14.0,9.0,1.0,86.0,9.0,9.0,
2020,2020-11-30,20:00,Série A,Matchweek 23,Mon,Home,D,0,0,Red Bull Bragantino,46.0,,Nenê,4-2-2-2,Dyorgines José Padovani Andrade,Match Report,,brasileirao,24,fluminense,84d9701c,7.0,1.0,14.3,0.0,0.0,22.3,,,,4.0,100.0,,,309.0,406.0,76.1,,,0.0,,,,,,,3.0,15.0,,,,,16.0,,,,14.0,12.0,14.0,0.0,,,,20.0,17.0,15.0,4.0,56.0,41.4,0.4,0.5,4.0,0.8,0.8,5200.0,1955.0,0.3,0.6,0.0,27.0,3.0,15.0,0.0,5.0,9.0,0.0,14.0,8.0,1.0,105.0,12.0,11.0,
2020,2020-12-05,19:00,Série A,Matchweek 24,Sat,Home,W,3,1,Ath Paranaense,70.0,,Hudson,4-2-2-2,Ramon Abatti Abel,Match Report,,brasileirao,24,fluminense,84d9701c,26.0,11.0,42.3,0.12,0.27,15.8,,,,0.0,0.0,,,526.0,618.0,85.1,,,2.0,,,,,,,5.0,27.0,,,,,11.0,,,,9.0,8.0,4.0,0.0,,,,5.0,7.0,16.0,2.0,52.0,50.0,3.7,0.3,1.0,0.2,-0.8,9017.0,2800.0,2.7,1.8,1.0,68.0,22.0,44.0,1.0,15.0,49.0,6.0,7.0,5.0,4.0,213.0,29.0,20.0,
2020,2020-12-13,20:30,Série A,Matchweek 25,Sun,Away,D,1,1,Vasco da Gama,55.0,,Hudson,4-4-2,Rodolpho Toski Marques,Match Report,,brasileirao,24,fluminense,84d9701c,10.0,4.0,40.0,0.1,0.25,14.8,,,,3.0,75.0,,,463.0,546.0,84.8,,,0.0,,,,,,,7.0,16.0,,,,,13.0,,,,8.0,14.0,18.0,0.0,,,,16.0,9.0,14.0,0.0,47.0,46.2,1.0,1.6,4.0,1.7,0.7,7734.0,2502.0,0.6,0.4,2.0,32.0,7.0,20.0,0.0,2.0,17.0,1.0,6.0,6.0,1.0,94.0,19.0,14.0,
2020,2020-12-16,21:30,Série A,Matchweek 26,Wed,Away,L,1,2,Atl Goianiense,59.0,,Fred,4-1-4-1,Rodrigo D'Alonso Ferreira,Match Report,,brasileirao,24,fluminense,84d9701c,5.0,2.0,40.0,0.2,0.5,16.7,,,,3.0,80.0,,,405.0,486.0,83.3,,,1.0,,,,,,,4.0,18.0,,,,,13.0,,,,9.0,10.0,15.0,0.0,,,,17.0,13.0,18.0,0.0,43.0,55.2,0.5,2.1,5.0,2.6,0.6,7700.0,2693.0,0.5,0.9,1.0,46.0,4.0,32.0,1.0,6.0,10.0,2.0,8.0,7.0,0.0,106.0,13.0,11.0,
2020,2020-12-26,21:00,Série A,Matchweek 27,Sat,Home,L,1,2,São Paulo,42.0,,Fred,4-2-3-1,Anderson Daronco,Match Report,,brasileirao,24,fluminense,84d9701c,8.0,1.0,12.5,0.13,1.0,18.4,,,,3.0,60.0,,,351.0,435.0,80.7,,,0.0,,,,,,,3.0,13.0,,,,,25.0,,,,12.0,13.0,17.0,0.0,,,,12.0,10.0,17.0,0.0,47.0,70.6,0.4,1.7,5.0,1.8,-0.2,6968.0,2460.0,0.3,0.5,1.0,27.0,5.0,20.0,0.0,0.0,14.0,1.0,13.0,10.0,4.0,92.0,8.0,19.0,
2020,2021-01-06,21:30,Série A,Matchweek 28,Wed,Away,W,2,1,Flamengo,29.0,,Fred,4-2-3-1,Leandro Pedro Vuaden,Match Report,,brasileirao,24,fluminense,84d9701c,11.0,5.0,45.5,0.18,0.4,15.2,,,,7.0,87.5,,,194.0,294.0,66.0,,,1.0,,,,,,,2.0,15.0,,,,,10.0,,,,14.0,15.0,30.0,0.0,,,,13.0,7.0,22.0,2.0,50.0,42.9,1.1,3.1,8.0,1.5,0.5,3622.0,1794.0,0.8,0.4,1.0,19.0,9.0,14.0,0.0,4.0,19.0,2.0,6.0,6.0,0.0,83.0,11.0,10.0,
2020,2021-01-13,21:30,Série A,Matchweek 29,Wed,Away,L,0,5,Corinthians,44.0,,Fred,4-3-3,Rafael Traci,Match Report,,brasileirao,24,fluminense,84d9701c,14.0,2.0,14.3,0.0,0.0,17.9,,,,3.0,37.5,,,344.0,435.0,79.1,,,0.0,,,,,,,2.0,15.0,,,,,9.0,,,,13.0,9.0,19.0,1.0,,,,16.0,6.0,15.0,3.0,34.0,46.7,0.7,2.0,8.0,3.7,-1.3,6712.0,2657.0,0.5,0.5,1.0,32.0,10.0,30.0,0.0,3.0,20.0,0.0,8.0,5.0,1.0,110.0,17.0,16.0,
2020,2021-01-16,19:00,Série A,Matchweek 30,Sat,Home,W,1,0,Sport Recife,64.0,,Fred,4-2-3-1,Heber Roberto Lopes,Match Report,,brasileirao,24,fluminense,84d9701c,11.0,1.0,9.1,0.0,0.0,16.7,,,,0.0,,,,482.0,574.0,84.0,,,0.0,,,,,,,4.0,14.0,,,,,13.0,,,,8.0,11.0,13.0,0.0,,,,14.0,8.0,23.0,2.0,41.0,40.9,1.1,0.6,0.0,0.0,0.0,8793.0,2651.0,1.0,1.1,2.0,45.0,8.0,32.0,1.0,5.0,22.0,0.0,8.0,7.0,0.0,104.0,12.0,10.0,
2020,2021-01-20,20:30,Série A,Matchweek 31,Wed,Away,D,3,3,Coritiba,60.0,,Fred,4-2-3-1,Felipe Fernandes de Lima,Match Report,,brasileirao,24,fluminense,84d9701c,20.0,5.0,25.0,0.15,0.6,14.7,,,,1.0,25.0,,,422.0,530.0,79.6,,,2.0,,,,,,,2.0,36.0,,,,,13.0,,,,3.0,13.0,4.0,1.0,,,,12.0,9.0,10.0,1.0,49.0,59.0,1.1,0.8,4.0,2.1,-0.9,8095.0,2406.0,0.8,1.1,2.0,59.0,14.0,43.0,0.0,12.0,31.0,5.0,11.0,4.0,4.0,228.0,25.0,22.0,
2020,2021-01-24,20:30,Série A,Matchweek 32,Sun,Home,W,2,0,Botafogo (RJ),48.0,,Nenê,4-2-3-1,Edina Alves Batista,Match Report,,brasileirao,24,fluminense,84d9701c,11.0,4.0,36.4,0.09,0.25,22.5,,,,0.0,,,,348.0,437.0,79.6,,,0.0,,,,,,,4.0,21.0,,,,,24.0,,,,7.0,14.0,19.0,0.0,,,,19.0,9.0,20.0,0.0,68.0,36.6,1.6,0.2,0.0,0.0,0.0,5661.0,2146.0,0.5,0.9,1.0,43.0,6.0,22.0,0.0,2.0,22.0,4.0,15.0,11.0,3.0,152.0,21.0,19.0,
2020,2021-01-31,20:30,Série A,Matchweek 33,Sun,Home,W,3,0,Goiás,43.0,,Fred,4-2-3-1,Raphael Claus,Match Report,,brasileirao,24,fluminense,84d9701c,17.0,6.0,35.3,0.18,0.5,19.3,,,,0.0,,,,318.0,405.0,78.5,,,2.0,,,,,,,4.0,13.0,,,,,11.0,,,,12.0,11.0,21.0,1.0,,,,22.0,14.0,9.0,1.0,62.0,57.1,1.3,0.5,0.0,0.0,0.0,5533.0,2372.0,1.2,1.4,3.0,34.0,15.0,34.0,2.0,7.0,32.0,5.0,5.0,6.0,1.0,121.0,16.0,7.0,
2020,2021-02-03,21:30,Série A,Matchweek 34,Wed,Away,W,1,0,Bahia,46.0,,Fred,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,brasileirao,24,fluminense,84d9701c,13.0,6.0,46.2,0.08,0.17,16.5,,,,6.0,100.0,,,401.0,477.0,84.1,,,1.0,,,,,,,4.0,16.0,,,,,25.0,,,,7.0,20.0,19.0,0.0,,,,11.0,9.0,11.0,2.0,60.0,38.5,2.1,0.4,6.0,0.8,0.8,8058.0,3255.0,2.1,1.3,3.0,38.0,12.0,39.0,0.0,1.0,24.0,2.0,11.0,15.0,1.0,127.0,15.0,17.0,
2020,2021-02-10,21:30,Série A,Matchweek 35,Wed,Home,D,0,0,Atlético Mineiro,28.0,,Fred,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,brasileirao,24,fluminense,84d9701c,10.0,3.0,30.0,0.0,0.0,20.2,,,,1.0,100.0,,,260.0,355.0,73.2,,,0.0,,,,,,,4.0,20.0,,,,,18.0,,,,13.0,15.0,24.0,0.0,,,,19.0,7.0,8.0,3.0,42.0,62.5,0.8,0.4,1.0,0.2,0.2,5206.0,1932.0,0.5,0.6,0.0,27.0,4.0,27.0,0.0,6.0,17.0,0.0,10.0,11.0,0.0,119.0,15.0,8.0,
2020,2021-02-15,18:00,Série A,Matchweek 36,Mon,Away,W,3,1,Ceará,48.0,,Nenê,4-2-3-1,Wilton Sampaio,Match Report,,brasileirao,24,fluminense,84d9701c,9.0,4.0,44.4,0.33,0.75,19.3,,,,4.0,100.0,,,372.0,459.0,81.0,,,3.0,,,,,,,4.0,11.0,,,,,19.0,,,,11.0,13.0,25.0,0.0,,,,22.0,8.0,8.0,0.0,54.0,38.5,1.1,2.3,5.0,1.7,0.7,6640.0,2452.0,1.0,0.8,0.0,31.0,6.0,20.0,1.0,0.0,17.0,6.0,11.0,13.0,0.0,108.0,17.0,17.0,
2020,2021-02-21,18:15,Série A,Matchweek 37,Sun,Away,D,1,1,Santos,39.0,,Fred,4-2-3-1,Savio Pereira,Match Report,,brasileirao,24,fluminense,84d9701c,7.0,3.0,42.9,0.14,0.33,17.5,,,,1.0,50.0,,,230.0,315.0,73.0,,,1.0,,,,,,,0.0,15.0,,,,,23.0,,,,4.0,19.0,27.0,0.0,,,,8.0,14.0,19.0,1.0,43.0,48.4,0.4,0.9,2.0,1.0,0.0,4216.0,1860.0,0.3,0.6,1.0,16.0,5.0,15.0,1.0,4.0,12.0,2.0,14.0,12.0,3.0,94.0,4.0,6.0,
2020,2021-02-25,21:30,Série A,Matchweek 38,Thu,Home,W,2,0,Fortaleza,48.0,,Fred,4-2-3-1,Anderson Daronco,Match Report,,brasileirao,24,fluminense,84d9701c,9.0,3.0,33.3,0.22,0.67,12.2,,,,2.0,100.0,,,361.0,425.0,84.9,,,1.0,,,,,,,3.0,10.0,,,,,21.0,,,,11.0,11.0,22.0,1.0,,,,15.0,7.0,10.0,0.0,33.0,52.9,1.4,0.4,2.0,0.6,0.6,7046.0,1827.0,0.8,1.0,2.0,24.0,8.0,18.0,0.0,3.0,17.0,3.0,10.0,8.0,3.0,76.0,10.0,6.0,
2020,2020-03-03,19:30,Libertadores,Group stage,Tue,Away,W,2,0,co CD América,45.0,,Pedro Geromel,4-3-3,Guillermo Guerrero,Match Report,,brasileirao,24,gremio,d5ae3703,10.0,3.0,30.0,0.2,0.67,23.3,,,,5.0,100.0,,,368.0,470.0,78.3,,,2.0,,,,,,,1.0,5.0,,,,,20.0,,,,12.0,8.0,32.0,0.0,,,,12.0,17.0,7.0,1.0,54.0,40.5,0.8,0.6,5.0,0.5,0.5,6312.0,2330.0,0.5,0.3,0.0,35.0,7.0,26.0,1.0,3.0,16.0,3.0,15.0,14.0,1.0,105.0,20.0,13.0,
2020,2020-03-12,21:00,Libertadores,Group stage,Thu,Home,D,0,0,br Internacional,48.0,,Pedro Geromel,4-3-3,Fernando Rapallini,Match Report,,brasileirao,24,gremio,d5ae3703,13.0,5.0,38.5,0.0,0.0,20.4,,,,1.0,100.0,,,373.0,456.0,81.8,,,0.0,,,,,,,2.0,15.0,,,,,17.0,,,,7.0,14.0,19.0,0.0,,,,8.0,10.0,13.0,2.0,47.0,51.5,0.8,0.9,1.0,0.3,0.3,6676.0,2351.0,0.8,0.5,3.0,29.0,12.0,30.0,2.0,6.0,24.0,0.0,9.0,11.0,1.0,133.0,10.0,17.0,
2020,2020-08-09,19:00,Série A,Matchweek 1,Sun,Home,W,1,0,Fluminense,53.0,,Pedro Geromel,4-2-3-1,Wilton Sampaio,Match Report,,brasileirao,24,gremio,d5ae3703,15.0,4.0,26.7,0.07,0.25,19.0,,,,4.0,100.0,,,424.0,543.0,78.1,,,0.0,,,,,,,2.0,17.0,,,,,14.0,,,,8.0,17.0,16.0,0.0,,,,18.0,11.0,24.0,2.0,63.0,55.8,1.2,0.5,4.0,0.4,0.4,7498.0,3048.0,0.7,1.4,3.0,46.0,12.0,42.0,0.0,6.0,29.0,2.0,9.0,9.0,0.0,186.0,18.0,18.0,
2020,2020-08-12,21:30,Série A,Matchweek 2,Wed,Away,D,1,1,Ceará,57.0,,David Braz,4-2-3-1,Caio Max Augusto Vieira,Match Report,,brasileirao,24,gremio,d5ae3703,14.0,8.0,57.1,0.07,0.13,16.6,,,,4.0,80.0,,,526.0,619.0,85.0,,,1.0,,,,,,,4.0,19.0,,,,,15.0,,,,7.0,12.0,12.0,0.0,,,,16.0,11.0,7.0,0.0,48.0,40.5,1.6,1.3,5.0,1.6,0.6,9049.0,2965.0,1.5,0.9,3.0,54.0,11.0,47.0,2.0,7.0,26.0,2.0,8.0,10.0,0.0,163.0,14.0,12.0,
2020,2020-08-15,19:00,Série A,Matchweek 3,Sat,Home,D,0,0,Corinthians,48.0,,Pedro Geromel,4-2-3-1,Bruno Arleu de Araujo,Match Report,,brasileirao,24,gremio,d5ae3703,23.0,7.0,30.4,0.0,0.0,16.7,,,,2.0,100.0,,,460.0,551.0,83.5,,,0.0,,,,,,,3.0,36.0,,,,,14.0,,,,5.0,10.0,8.0,0.0,,,,17.0,9.0,16.0,0.0,60.0,61.9,3.1,0.3,2.0,0.2,0.2,7620.0,2961.0,2.0,2.4,5.0,61.0,18.0,60.0,3.0,7.0,42.0,0.0,7.0,6.0,2.0,271.0,31.0,22.0,
2020,2020-08-19,19:15,Série A,Matchweek 4,Wed,Away,D,1,1,Flamengo,40.0,,Pedro Geromel,4-3-3,Rafael Traci,Match Report,,brasileirao,24,gremio,d5ae3703,10.0,2.0,20.0,0.1,0.5,21.3,,,,1.0,100.0,,,329.0,420.0,78.3,,,1.0,,,,,,,3.0,7.0,,,,,16.0,,,,8.0,10.0,12.0,0.0,,,,4.0,6.0,20.0,3.0,46.0,36.4,1.7,1.1,2.0,1.0,0.0,4969.0,1928.0,1.6,0.6,2.0,22.0,7.0,19.0,0.0,2.0,20.0,2.0,10.0,9.0,1.0,79.0,14.0,13.0,
2020,2020-08-23,16:00,Série A,Matchweek 5,Sun,Away,D,0,0,Vasco da Gama,53.0,,Walter Kannemann,4-2-3-1,Savio Pereira,Match Report,,brasileirao,24,gremio,d5ae3703,14.0,4.0,28.6,0.0,0.0,23.7,,,,3.0,100.0,,,416.0,509.0,81.7,,,0.0,,,,,,,2.0,13.0,,,,,25.0,,,,8.0,10.0,11.0,0.0,,,,11.0,7.0,17.0,0.0,56.0,46.4,0.6,0.6,3.0,0.6,0.6,6879.0,2231.0,0.4,0.6,0.0,47.0,10.0,44.0,0.0,4.0,28.0,0.0,18.0,6.0,3.0,163.0,13.0,14.0,
2020,2020-09-03,19:00,Série A,Matchweek 7,Thu,Home,L,1,2,Sport Recife,72.0,,Pedro Geromel,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,brasileirao,24,gremio,d5ae3703,29.0,7.0,24.1,0.03,0.14,19.2,,,,1.0,66.7,,,627.0,757.0,82.8,,,1.0,,,,,,,8.0,47.0,,,,,7.0,,,,3.0,6.0,6.0,0.0,,,,17.0,9.0,10.0,1.0,66.0,60.6,2.1,1.0,3.0,1.8,-0.2,11118.0,4032.0,1.4,1.9,11.0,92.0,21.0,81.0,1.0,11.0,54.0,2.0,5.0,6.0,0.0,276.0,36.0,28.0,
2020,2020-09-06,19:00,Série A,Matchweek 8,Sun,Away,D,1,1,Atl Goianiense,51.0,,Pedro Geromel,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,brasileirao,24,gremio,d5ae3703,6.0,2.0,33.3,0.17,0.5,19.8,,,,1.0,50.0,,,418.0,520.0,80.4,,,1.0,,,,,,,2.0,22.0,,,,,17.0,,,,7.0,9.0,15.0,0.0,,,,17.0,2.0,13.0,1.0,40.0,50.0,0.6,1.3,2.0,1.4,0.4,7394.0,2660.0,0.6,0.7,2.0,47.0,4.0,37.0,3.0,3.0,10.0,2.0,13.0,11.0,0.0,157.0,24.0,15.0,
2020,2020-09-10,19:15,Série A,Matchweek 9,Thu,Away,W,2,0,Bahia,50.0,,David Braz,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,brasileirao,24,gremio,d5ae3703,18.0,6.0,33.3,0.11,0.33,16.9,,,,6.0,100.0,,,435.0,511.0,85.1,,,2.0,,,,,,,3.0,13.0,,,,,9.0,,,,6.0,5.0,26.0,0.0,,,,13.0,3.0,9.0,2.0,40.0,58.8,2.0,1.2,6.0,1.3,1.3,7112.0,2326.0,1.5,1.0,1.0,33.0,13.0,16.0,2.0,4.0,33.0,4.0,6.0,5.0,1.0,135.0,27.0,21.0,
2020,2020-09-13,16:00,Série A,Matchweek 10,Sun,Home,D,1,1,Fortaleza,56.0,,Pedro Geromel,4-2-3-1,Igor Junior Benevenuto,Match Report,,brasileirao,24,gremio,d5ae3703,13.0,2.0,15.4,0.0,0.0,23.6,,,,1.0,50.0,,,500.0,577.0,86.7,,,0.0,,,,,,,3.0,23.0,,,,,13.0,,,,3.0,8.0,12.0,0.0,,,,10.0,8.0,11.0,2.0,44.0,45.5,1.8,0.1,2.0,0.7,-0.3,8370.0,2515.0,0.8,2.0,3.0,54.0,8.0,54.0,0.0,6.0,24.0,2.0,12.0,4.0,2.0,210.0,24.0,17.0,
