Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Kervin Andrade,ve VEN,MF,19-192,10,4,415.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.1,4.0,12.0,36.0,0.22,0.22,0.43,0.22,0.43,0.22,0.23,0.45,0.22,0.45,Matches,2024,brasileirao,24,Fortaleza
Eros Mancuso,ar ARG,DF,25-188,5,4,322.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.4,0.5,6.0,16.0,15.0,0.0,0.28,0.28,0.0,0.28,0.03,0.1,0.13,0.03,0.13,Matches,2024,brasileirao,24,Fortaleza
Kauan,br BRA,MF,19-189,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2024,brasileirao,24,Fortaleza
Pedro Rocha Neves,br BRA,"FW,MF",30-022,4,0,48.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,2.0,1.0,5.0,0.0,1.87,1.87,0.0,1.87,0.15,1.09,1.24,0.15,1.24,Matches,2024,brasileirao,24,Fortaleza
Calebe,br BRA,"FW,MF",24-175,4,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.32,0.36,0.69,0.32,0.69,Matches,2024,brasileirao,24,Fortaleza
Luis Eduardo Marques dos Santos,br BRA,"FW,DF",27-145,3,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,brasileirao,24,Fortaleza
Amorim,br BRA,MF,19-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Iarley Barros,br BRA,FW,21-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Bruno,br BRA,GK,22-136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Fabricio Dias,br BRA,FW,20-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
Gonzalo Escobar,ar ARG,DF,27-220,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,brasileirao,24,Fortaleza
