Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2016-06-25,19:00,Série A,Matchweek 11,Sat,Away,L,1,2,Cruzeiro,49.0,18082.0,,4-2-3-1,4-3-2-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Palmeiras,9.0,4.0,44.4,0.11,0.25,
2016-06-30,19:30,Série A,Matchweek 12,Thu,Home,W,4,0,Figueirense,63.0,32834.0,,4-2-3-1,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,,2016,brasileirao,24,2016 Palmeiras,13.0,6.0,46.2,0.31,0.67,
2016-07-04,20:00,Série A,Matchweek 13,Mon,Away,W,3,1,Sport Recife,40.0,26719.0,,4-3-3,4-2-3-1,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Palmeiras,13.0,7.0,53.8,0.15,0.29,
2016-07-12,20:30,Série A,Matchweek 14,Tue,Home,D,1,1,Santos,39.0,40035.0,,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,5.0,41.7,0.08,0.2,
2016-07-17,16:00,Série A,Matchweek 15,Sun,Away,W,1,0,Internacional,42.0,27293.0,,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2016,brasileirao,24,2016 Palmeiras,9.0,3.0,33.3,0.11,0.33,
2016-07-24,11:00,Série A,Matchweek 16,Sun,Home,L,0,1,Atlético Mineiro,57.0,39400.0,,4-2-3-1,4-3-2-1,Wagner do Nascimento Magalhaes,Match Report,,2016,brasileirao,24,2016 Palmeiras,9.0,4.0,44.4,0.0,0.0,
2016-07-31,18:30,Série A,Matchweek 17,Sun,Away,L,1,3,Botafogo (RJ),53.0,8477.0,,4-2-3-1,4-3-1-2,Heber Roberto Lopes,Match Report,,2016,brasileirao,24,2016 Palmeiras,13.0,7.0,53.8,0.08,0.14,
2016-08-04,21:30,Série A,Matchweek 18,Thu,Away,D,1,1,Chapecoense,65.0,9167.0,,4-2-3-1,4-3-2-1,Wilton Sampaio,Match Report,,2016,brasileirao,24,2016 Palmeiras,23.0,11.0,47.8,0.0,0.0,
2016-08-07,16:00,Série A,Matchweek 19,Sun,Home,W,2,1,Vitória,59.0,30330.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2016,brasileirao,24,2016 Palmeiras,18.0,8.0,44.4,0.11,0.25,
2016-08-14,18:30,Série A,Matchweek 20,Sun,Away,W,1,0,Ath Paranaense,42.0,23911.0,,4-2-4-0,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,2.0,16.7,0.08,0.5,
2016-08-21,16:00,Série A,Matchweek 21,Sun,Home,D,2,2,Ponte Preta,65.0,29138.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2016,brasileirao,24,2016 Palmeiras,18.0,7.0,38.9,0.11,0.29,
2016-08-28,16:00,Série A,Matchweek 22,Sun,Away,W,2,0,Fluminense,41.0,12037.0,,4-3-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Palmeiras,16.0,5.0,31.3,0.13,0.4,
2016-09-07,21:45,Série A,Matchweek 23,Wed,Home,W,2,1,São Paulo,50.0,39944.0,,4-3-3,4-2-3-1,Sandro Ricci,Match Report,,2016,brasileirao,24,2016 Palmeiras,15.0,7.0,46.7,0.13,0.29,
2016-09-11,18:30,Série A,Matchweek 24,Sun,Away,D,0,0,Grêmio,41.0,19514.0,,4-3-3,4-2-3-1,Emerson De Almeida Ferreira,Match Report,,2016,brasileirao,24,2016 Palmeiras,6.0,1.0,16.7,0.0,0.0,
2016-09-14,21:45,Série A,Matchweek 25,Wed,Home,D,1,1,Flamengo,64.0,32885.0,,4-3-3,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2016,brasileirao,24,2016 Palmeiras,24.0,3.0,12.5,0.04,0.33,
2016-09-17,16:00,Série A,Matchweek 26,Sat,Away,W,2,0,Corinthians,34.0,39879.0,,4-3-3,4-1-4-1,Heber Roberto Lopes,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,4.0,33.3,0.17,0.5,
2016-09-24,16:00,Série A,Matchweek 27,Sat,Home,W,2,1,Coritiba,58.0,30962.0,,4-2-3-1,4-4-1-1,Caio Max Augusto Vieira,Match Report,,2016,brasileirao,24,2016 Palmeiras,20.0,6.0,30.0,0.1,0.33,
2016-10-03,20:00,Série A,Matchweek 28,Mon,Away,W,3,2,Santa Cruz,52.0,7189.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Palmeiras,14.0,8.0,57.1,0.21,0.38,
2016-10-09,17:00,Série A,Matchweek 29,Sun,Away,W,2,0,América (MG),49.0,27895.0,,4-3-3,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,,2016,brasileirao,24,2016 Palmeiras,10.0,3.0,30.0,0.2,0.67,
2016-10-13,19:30,Série A,Matchweek 30,Thu,Home,D,0,0,Cruzeiro,55.0,15709.0,,4-3-3,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,3.0,25.0,0.0,0.0,
2016-10-16,17:00,Série A,Matchweek 31,Sun,Away,W,2,1,Figueirense,52.0,16467.0,,4-3-3,4-1-4-1,Igor Junior Benevenuto,Match Report,,2016,brasileirao,24,2016 Palmeiras,19.0,6.0,31.6,0.05,0.17,
2016-10-23,17:00,Série A,Matchweek 32,Sun,Home,W,2,1,Sport Recife,45.0,31107.0,,4-3-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,4.0,33.3,0.17,0.5,
2016-10-29,19:30,Série A,Matchweek 33,Sat,Away,L,0,1,Santos,54.0,13574.0,,4-3-3,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Palmeiras,9.0,4.0,44.4,0.0,0.0,
2016-11-06,17:00,Série A,Matchweek 34,Sun,Home,W,1,0,Internacional,49.0,31967.0,,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2016,brasileirao,24,2016 Palmeiras,7.0,3.0,42.9,0.14,0.33,
2016-11-17,21:00,Série A,Matchweek 35,Thu,Away,D,1,1,Atlético Mineiro,34.0,14942.0,,4-3-3,4-2-3-1,Braulio da Silva Machado,Match Report,,2016,brasileirao,24,2016 Palmeiras,12.0,4.0,33.3,0.08,0.25,
2016-11-20,17:00,Série A,Matchweek 36,Sun,Home,W,1,0,Botafogo (RJ),62.0,39690.0,,4-2-3-1,4-4-2,Elmo Alves Resende Cunha,Match Report,,2016,brasileirao,24,2016 Palmeiras,16.0,5.0,31.3,0.06,0.2,
2016-11-27,17:00,Série A,Matchweek 37,Sun,Home,W,1,0,Chapecoense,53.0,40986.0,,4-3-3,4-1-4-1,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Palmeiras,21.0,3.0,14.3,0.05,0.33,
2016-12-11,16:00,Série A,Matchweek 38,Sun,Away,W,2,1,Vitória,62.0,34757.0,,4-3-3,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Palmeiras,10.0,5.0,50.0,0.2,0.4,
2016-05-14,18:30,Série A,Matchweek 1,Sat,Away,L,0,1,Atlético Mineiro,59.0,5403.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2016,brasileirao,24,2016 Santos,12.0,4.0,33.3,0.0,0.0,
2016-05-22,11:00,Série A,Matchweek 2,Sun,Home,W,2,1,Coritiba,58.0,7472.0,,4-2-3-1,4-4-2,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Santos,11.0,4.0,36.4,0.18,0.5,
2016-05-25,19:30,Série A,Matchweek 3,Wed,Away,D,2,2,Figueirense,54.0,5849.0,,4-2-3-1,4-4-1-1,Wagner do Nascimento Magalhaes,Match Report,,2016,brasileirao,24,2016 Santos,8.0,2.0,25.0,0.0,0.0,
2016-05-29,18:30,Série A,Matchweek 4,Sun,Home,L,0,1,Internacional,50.0,4468.0,,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2016,brasileirao,24,2016 Santos,13.0,4.0,30.8,0.0,0.0,
2016-06-01,21:00,Série A,Matchweek 5,Wed,Away,L,0,1,Corinthians,33.0,30187.0,,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Santos,3.0,1.0,33.3,0.0,0.0,
2016-06-05,11:00,Série A,Matchweek 6,Sun,Home,W,3,0,Botafogo (RJ),53.0,16530.0,,4-2-3-1,4-4-2,Sandro Ricci,Match Report,,2016,brasileirao,24,2016 Santos,8.0,4.0,50.0,0.25,0.5,
2016-06-12,19:00,Série A,Matchweek 7,Sun,Away,W,2,0,Santa Cruz,52.0,16464.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2016,brasileirao,24,2016 Santos,12.0,6.0,50.0,0.17,0.33,
2016-06-15,21:00,Série A,Matchweek 8,Wed,Home,W,2,0,Sport Recife,60.0,4937.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Santos,20.0,8.0,40.0,0.1,0.25,
2016-06-18,18:00,Série A,Matchweek 9,Sat,Away,L,0,1,Ath Paranaense,67.0,15359.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Santos,7.0,3.0,42.9,0.0,0.0,
2016-06-22,21:45,Série A,Matchweek 10,Wed,Away,W,4,2,Fluminense,48.0,5310.0,,4-2-2-2,4-2-3-1,Rodolpho Toski Marques,Match Report,,2016,brasileirao,24,2016 Santos,17.0,6.0,35.3,0.24,0.67,
2016-06-26,16:00,Série A,Matchweek 11,Sun,Home,W,3,0,São Paulo,63.0,24647.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2016,brasileirao,24,2016 Santos,11.0,6.0,54.5,0.27,0.5,
2016-06-29,19:30,Série A,Matchweek 12,Wed,Away,L,2,3,Grêmio,64.0,13088.0,,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2016,brasileirao,24,2016 Santos,18.0,6.0,33.3,0.11,0.33,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Home,W,3,0,Chapecoense,64.0,10322.0,,4-2-3-1,4-3-2-1,Bruno Arleu de Araujo,Match Report,,2016,brasileirao,24,2016 Santos,9.0,6.0,66.7,0.33,0.5,
2016-07-12,20:30,Série A,Matchweek 14,Tue,Away,D,1,1,Palmeiras,61.0,40035.0,,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,,2016,brasileirao,24,2016 Santos,10.0,2.0,20.0,0.1,0.5,
2016-07-16,18:30,Série A,Matchweek 15,Sat,Home,W,3,1,Ponte Preta,58.0,11979.0,,4-2-3-1,4-3-2-1,Marielson Alves Silva,Match Report,,2016,brasileirao,24,2016 Santos,13.0,5.0,38.5,0.23,0.6,
2016-07-24,18:30,Série A,Matchweek 16,Sun,Away,W,3,2,Vitória,44.0,9244.0,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2016,brasileirao,24,2016 Santos,9.0,6.0,66.7,0.33,0.5,
2016-07-31,16:00,Série A,Matchweek 17,Sun,Home,W,2,0,Cruzeiro,50.0,13830.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2016,brasileirao,24,2016 Santos,8.0,3.0,37.5,0.13,0.33,
2016-08-03,20:45,Série A,Matchweek 18,Wed,Home,D,0,0,Flamengo,41.0,21814.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Santos,10.0,5.0,50.0,0.0,0.0,
2016-08-07,11:00,Série A,Matchweek 19,Sun,Away,L,0,1,América (MG),57.0,2893.0,,4-2-3-1,4-1-4-1,Pablo Dos Santos Alves,Match Report,,2016,brasileirao,24,2016 Santos,7.0,3.0,42.9,0.0,0.0,
2016-08-14,16:00,Série A,Matchweek 20,Sun,Home,W,3,0,Atlético Mineiro,37.0,10250.0,,4-2-3-1,4-4-2,Wagner do Nascimento Magalhaes,Match Report,,2016,brasileirao,24,2016 Santos,12.0,7.0,58.3,0.25,0.43,
2016-08-21,18:00,Série A,Matchweek 21,Sun,Away,L,1,2,Coritiba,49.0,7972.0,,4-2-3-1,4-1-4-1,Claudio Francisco Lima e Silva,Match Report,,2016,brasileirao,24,2016 Santos,8.0,4.0,50.0,0.13,0.25,
2016-08-28,11:00,Série A,Matchweek 22,Sun,Home,L,0,1,Figueirense,73.0,11456.0,,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2016,brasileirao,24,2016 Santos,22.0,8.0,36.4,0.0,0.0,
2016-09-08,21:00,Série A,Matchweek 23,Thu,Away,L,1,2,Internacional,41.0,29996.0,,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,2016,brasileirao,24,2016 Santos,9.0,4.0,44.4,0.11,0.25,
2016-09-11,16:00,Série A,Matchweek 24,Sun,Home,W,2,1,Corinthians,52.0,8610.0,,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,,2016,brasileirao,24,2016 Santos,13.0,5.0,38.5,0.08,0.2,
2016-09-14,19:30,Série A,Matchweek 25,Wed,Away,W,1,0,Botafogo (RJ),42.0,11883.0,,4-2-3-1,4-3-1-2,Paulo Henrique Schleinch Vollkopf,Match Report,,2016,brasileirao,24,2016 Santos,8.0,3.0,37.5,0.13,0.33,
2016-09-18,18:30,Série A,Matchweek 26,Sun,Home,W,3,2,Santa Cruz,50.0,28700.0,,4-2-3-1,4-2-3-1,Francisco Carlos do Nascimento,Match Report,,2016,brasileirao,24,2016 Santos,15.0,6.0,40.0,0.2,0.5,
2016-09-24,18:30,Série A,Matchweek 27,Sat,Away,L,0,1,Sport Recife,60.0,7934.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2016,brasileirao,24,2016 Santos,15.0,4.0,26.7,0.0,0.0,
2016-10-01,16:00,Série A,Matchweek 28,Sat,Home,W,2,0,Ath Paranaense,45.0,5764.0,,4-2-3-1,4-3-2-1,Pericles Bassols Pegado Cortez,Match Report,,2016,brasileirao,24,2016 Santos,9.0,4.0,44.4,0.11,0.25,
2016-10-05,21:00,Série A,Matchweek 29,Wed,Home,W,2,1,Fluminense,50.0,5253.0,,4-2-3-1,4-3-3,Igor Junior Benevenuto,Match Report,,2016,brasileirao,24,2016 Santos,13.0,7.0,53.8,0.15,0.29,
2016-10-13,21:00,Série A,Matchweek 30,Thu,Away,W,1,0,São Paulo,49.0,29084.0,,4-2-3-1,4-1-4-1,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Santos,6.0,2.0,33.3,0.17,0.5,
2016-10-16,19:30,Série A,Matchweek 31,Sun,Home,D,1,1,Grêmio,68.0,7969.0,,4-2-3-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,,2016,brasileirao,24,2016 Santos,17.0,5.0,29.4,0.06,0.2,
2016-10-23,19:30,Série A,Matchweek 32,Sun,Away,W,1,0,Chapecoense,42.0,7459.0,,4-2-3-1,4-1-4-1,Nielson Nogueira Dias,Match Report,,2016,brasileirao,24,2016 Santos,3.0,1.0,33.3,0.33,1.0,
2016-10-29,19:30,Série A,Matchweek 33,Sat,Home,W,1,0,Palmeiras,46.0,13574.0,,4-2-3-1,4-3-3,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Santos,12.0,6.0,50.0,0.08,0.17,
2016-11-06,11:00,Série A,Matchweek 34,Sun,Away,W,2,1,Ponte Preta,63.0,10208.0,,4-2-3-1,4-1-4-1,Braulio da Silva Machado,Match Report,,2016,brasileirao,24,2016 Santos,13.0,5.0,38.5,0.15,0.4,
2016-11-17,19:30,Série A,Matchweek 35,Thu,Home,W,3,2,Vitória,52.0,9258.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2016,brasileirao,24,2016 Santos,11.0,5.0,45.5,0.18,0.4,
2016-11-20,17:00,Série A,Matchweek 36,Sun,Away,D,2,2,Cruzeiro,49.0,13902.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2016,brasileirao,24,2016 Santos,10.0,4.0,40.0,0.1,0.25,
2016-11-27,17:00,Série A,Matchweek 37,Sun,Away,L,0,2,Flamengo,61.0,37615.0,,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2016,brasileirao,24,2016 Santos,12.0,2.0,16.7,0.0,0.0,
2016-12-11,17:00,Série A,Matchweek 38,Sun,Home,W,1,0,América (MG),76.0,7531.0,,4-2-3-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Santos,13.0,8.0,61.5,0.08,0.13,
2016-05-14,16:00,Série A,Matchweek 1,Sat,Home,W,1,0,Sport Recife,56.0,9382.0,,4-3-3,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2016,brasileirao,24,2016 Flamengo,11.0,5.0,45.5,0.09,0.2,
2016-05-22,16:00,Série A,Matchweek 2,Sun,Away,L,0,1,Grêmio,56.0,15976.0,,4-2-3-1,4-2-2-2,Luiz Flavio De Oliveira,Match Report,,2016,brasileirao,24,2016 Flamengo,14.0,4.0,28.6,0.0,0.0,
2016-05-25,21:00,Série A,Matchweek 3,Wed,Home,D,2,2,Chapecoense,62.0,2705.0,,4-2-3-1,4-3-2-1,Diego Almeida Real,Match Report,,2016,brasileirao,24,2016 Flamengo,8.0,2.0,25.0,0.13,0.5,
2016-05-29,11:00,Série A,Matchweek 4,Sun,Away,W,2,1,Ponte Preta,39.0,7106.0,,4-2-3-1,4-4-2,Anderson Daronco,Match Report,,2016,brasileirao,24,2016 Flamengo,6.0,4.0,66.7,0.17,0.25,
2016-06-02,21:00,Série A,Matchweek 5,Thu,Home,W,1,0,Vitória,51.0,6164.0,,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2016,brasileirao,24,2016 Flamengo,17.0,2.0,11.8,0.06,0.5,
2016-06-05,16:00,Série A,Matchweek 6,Sun,Home,L,1,2,Palmeiras,39.0,54665.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Flamengo,8.0,1.0,12.5,0.13,1.0,
2016-06-12,16:00,Série A,Matchweek 7,Sun,Away,L,0,1,Figueirense,63.0,10948.0,,4-2-3-1,4-4-1-1,Leandro Pedro Vuaden,Match Report,,2016,brasileirao,24,2016 Flamengo,16.0,8.0,50.0,0.0,0.0,
2016-06-15,21:45,Série A,Matchweek 8,Wed,Away,W,1,0,Cruzeiro,38.0,17593.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2016,brasileirao,24,2016 Flamengo,9.0,4.0,44.4,0.11,0.25,
2016-06-19,16:00,Série A,Matchweek 9,Sun,Home,D,2,2,São Paulo,62.0,27233.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2016,brasileirao,24,2016 Flamengo,31.0,7.0,22.6,0.03,0.14,
2016-06-22,21:00,Série A,Matchweek 10,Wed,Away,W,1,0,Santa Cruz,52.0,12739.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2016,brasileirao,24,2016 Flamengo,9.0,1.0,11.1,0.11,1.0,
2016-06-26,16:00,Série A,Matchweek 11,Sun,Home,L,1,2,Fluminense,56.0,25946.0,,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,,2016,brasileirao,24,2016 Flamengo,19.0,4.0,21.1,0.05,0.25,
2016-06-29,19:30,Série A,Matchweek 12,Wed,Home,W,1,0,Internacional,41.0,21000.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Flamengo,21.0,9.0,42.9,0.05,0.11,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Away,L,0,4,Corinthians,51.0,32577.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2016,brasileirao,24,2016 Flamengo,13.0,3.0,23.1,0.0,0.0,
2016-07-10,11:00,Série A,Matchweek 14,Sun,Home,W,2,0,Atlético Mineiro,46.0,23390.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,2016,brasileirao,24,2016 Flamengo,7.0,3.0,42.9,0.29,0.67,
2016-07-16,16:00,Série A,Matchweek 15,Sat,Away,D,3,3,Botafogo (RJ),53.0,11692.0,,4-2-3-1,4-3-1-2,Flavio Rodrigues De Souza,Match Report,,2016,brasileirao,24,2016 Flamengo,10.0,3.0,30.0,0.3,1.0,
2016-07-25,20:00,Série A,Matchweek 16,Mon,Home,W,2,1,América (MG),62.0,16523.0,,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,2016,brasileirao,24,2016 Flamengo,23.0,5.0,21.7,0.04,0.2,
2016-07-31,16:00,Série A,Matchweek 17,Sun,Away,W,2,0,Coritiba,50.0,16177.0,,4-2-3-1,4-1-4-1,Ricardo Marques Ribeiro,Match Report,,2016,brasileirao,24,2016 Flamengo,6.0,3.0,50.0,0.33,0.67,
2016-08-03,20:45,Série A,Matchweek 18,Wed,Away,D,0,0,Santos,60.0,21814.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2016,brasileirao,24,2016 Flamengo,17.0,3.0,17.6,0.0,0.0,
2016-08-06,18:30,Série A,Matchweek 19,Sat,Home,W,1,0,Ath Paranaense,53.0,19036.0,,4-2-3-1,4-2-3-1,Emerson De Almeida Ferreira,Match Report,,2016,brasileirao,24,2016 Flamengo,16.0,4.0,25.0,0.06,0.25,
2016-08-13,16:00,Série A,Matchweek 20,Sat,Away,L,0,1,Sport Recife,62.0,25019.0,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2016,brasileirao,24,2016 Flamengo,11.0,1.0,9.1,0.0,0.0,
2016-08-21,11:00,Série A,Matchweek 21,Sun,Home,W,2,1,Grêmio,50.0,22552.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2016,brasileirao,24,2016 Flamengo,18.0,6.0,33.3,0.06,0.17,
2016-08-24,21:45,Sudamericana,Second stage,Wed,Away,L,2,4,br Figueirense,,5400.0,,,,Daniel Fedorczuk,Match Report,Leg 1 of 2,2016,brasileirao,24,2016 Flamengo,,,,,,
2016-08-28,16:00,Série A,Matchweek 22,Sun,Away,W,3,1,Chapecoense,57.0,11562.0,,4-2-3-1,4-3-2-1,Caio Max Augusto Vieira,Match Report,,2016,brasileirao,24,2016 Flamengo,17.0,6.0,35.3,0.12,0.33,
2016-08-31,21:45,Sudamericana,Second stage,Wed,Home,W,3,1,br Figueirense,,7449.0,,,,Wilson Lamouroux,Match Report,Leg 2 of 2; Flamengo won,2016,brasileirao,24,2016 Flamengo,,,,,,
2016-09-07,21:45,Série A,Matchweek 23,Wed,Home,W,2,1,Ponte Preta,64.0,16358.0,,4-2-3-1,4-1-4-1,Francisco Carlos do Nascimento,Match Report,,2016,brasileirao,24,2016 Flamengo,18.0,8.0,44.4,0.11,0.25,
2016-09-10,18:30,Série A,Matchweek 24,Sat,Away,W,2,1,Vitória,54.0,28387.0,,4-2-3-1,4-1-4-1,Vinicius Furlan,Match Report,,2016,brasileirao,24,2016 Flamengo,16.0,6.0,37.5,0.13,0.33,
