Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,season,league_name,league_id,team_name
Nonoca,br BRA,MF,19.0,4,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Max,br BRA,DF,30.0,1,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Pablo Pardal,br BRA,MF,18.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 Sport Recife
Adenilson Aparecido,br BRA,MF,23.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Elias,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Oswaldo Henríquez,co COL,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Jadsom,br BRA,MF,16.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Jean,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Lucas,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Marlon,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Luan Polli,br BRA,GK,24.0,0,0,,,,,,,,,,,,,,,,Matches,2018,brasileirao,24,2018 Sport Recife
Squad Total,,,28.2,38,418,3420.0,38.0,32.0,20.0,52.0,30.0,2.0,3.0,85.0,4.0,0.84,0.53,1.37,0.79,1.32,,2018,brasileirao,24,2018 Sport Recife
Opponent Total,,,27.0,38,418,3420.0,38.0,57.0,37.0,94.0,52.0,5.0,8.0,79.0,2.0,1.5,0.97,2.47,1.37,2.34,,2018,brasileirao,24,2018 Sport Recife
Messias,br BRA,DF,23.0,35,35,3145.0,34.9,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,2018,brasileirao,24,2018 América (MG)
Matheus Ferraz,br BRA,DF,32.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Juninho,br BRA,MF,30.0,34,30,2752.0,30.6,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2018,brasileirao,24,2018 América (MG)
João Ricardo Riedi,br BRA,GK,29.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Carlinhos,br BRA,DF,31.0,27,26,2248.0,25.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2018,brasileirao,24,2018 América (MG)
Luan,br BRA,"MF,FW",29.0,26,24,1876.0,20.8,1.0,3.0,4.0,1.0,0.0,1.0,6.0,2.0,0.05,0.14,0.19,0.05,0.19,Matches,2018,brasileirao,24,2018 América (MG)
Leandro Donizete,br BRA,MF,35.0,26,23,2071.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Giovanni Palmieri,br BRA,"MF,DF",28.0,24,20,1777.0,19.7,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.15,0.05,0.2,0.15,0.2,Matches,2018,brasileirao,24,2018 América (MG)
Aderlan Silva,br BRA,"DF,MF",27.0,23,20,1712.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.11,0.11,0.0,0.11,Matches,2018,brasileirao,24,2018 América (MG)
Norberto,br BRA,DF,27.0,20,20,1619.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2018,brasileirao,24,2018 América (MG)
Gérson Magrão,br BRA,"MF,DF",32.0,24,18,1503.0,16.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,2018,brasileirao,24,2018 América (MG)
Rafael Moura,br BRA,FW,34.0,27,17,1691.0,18.8,7.0,3.0,10.0,5.0,2.0,2.0,5.0,1.0,0.37,0.16,0.53,0.27,0.43,Matches,2018,brasileirao,24,2018 América (MG)
Wesley,br BRA,"MF,FW",30.0,17,13,915.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.1,0.1,0.0,0.1,Matches,2018,brasileirao,24,2018 América (MG)
Zé Ricardo,br BRA,MF,21.0,18,12,1097.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018,brasileirao,24,2018 América (MG)
Serginho,br BRA,MF,22.0,12,12,1057.0,11.7,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.34,0.26,0.6,0.34,0.6,Matches,2018,brasileirao,24,2018 América (MG)
Ruy,br BRA,"MF,FW",29.0,21,11,1106.0,12.3,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.08,0.16,0.24,0.0,0.16,Matches,2018,brasileirao,24,2018 América (MG)
Aylon,br BRA,"MF,FW",25.0,14,11,955.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2018,brasileirao,24,2018 América (MG)
