Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2017-10-18,21:45,Série A,Matchweek 29,Wed,Home,D,0,0,Grêmio,55.0,40008.0,Rodriguinho Marinho,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2017,brasileirao,24,2017 Corinthians,7,0,0.0,0.0,,
2017-10-23,20:00,Série A,Matchweek 30,Mon,Away,L,1,2,Botafogo (RJ),62.0,8466.0,Cássio,4-2-3-1,4-4-1-1,Rodrigo Batista Raposo,Match Report,,2017,brasileirao,24,2017 Corinthians,8,3,37.5,0.13,0.33,
2017-10-29,17:00,Série A,Matchweek 31,Sun,Away,L,0,1,Ponte Preta,68.0,13121.0,Cássio,4-2-3-1,4-1-4-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Corinthians,18,8,44.4,0.0,0.0,
2017-11-05,17:00,Série A,Matchweek 32,Sun,Home,W,3,2,Palmeiras,39.0,46090.0,Fabián Balbuena,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Corinthians,13,8,61.5,0.15,0.25,
2017-11-08,21:00,Série A,Matchweek 33,Wed,Away,W,1,0,Ath Paranaense,38.0,18062.0,Fabián Balbuena,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Corinthians,7,3,42.9,0.14,0.33,
2017-11-11,19:00,Série A,Matchweek 34,Sat,Home,W,1,0,Avaí,66.0,42732.0,Fabián Balbuena,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Corinthians,17,5,29.4,0.06,0.2,
2017-11-15,21:45,Série A,Matchweek 35,Wed,Home,W,3,1,Fluminense,63.0,45775.0,Fagner,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Corinthians,13,4,30.8,0.23,0.75,
2017-11-19,17:00,Série A,Matchweek 36,Sun,Away,L,0,3,Flamengo,51.0,13491.0,Jô,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Corinthians,14,6,42.9,0.0,0.0,
2017-11-26,17:00,Série A,Matchweek 37,Sun,Home,D,2,2,Atlético Mineiro,57.0,46030.0,Cássio,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Corinthians,19,5,26.3,0.11,0.4,
2017-12-03,16:00,Série A,Matchweek 38,Sun,Away,L,0,1,Sport Recife,53.0,29977.0,Fabián Balbuena,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Corinthians,8,4,50.0,0.0,0.0,
2017-03-08,21:45,Libertadores,Group stage,Wed,Away,D,1,1,ar Atlé Tucumán,35.0,,Dudu,4-2-3-1,4-1-3-2,Mario Díaz de Vivar,Match Report,,2017,brasileirao,24,2017 Palmeiras,8,5,62.5,0.13,0.2,
2017-03-15,21:45,Libertadores,Group stage,Wed,Home,W,1,0,bo Wilstermann,67.0,,Dudu,4-3-3,5-4-1,Eduardo Gamboa Latourniere,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,6,40.0,0.07,0.17,
2017-04-12,21:45,Libertadores,Group stage,Wed,Home,W,3,2,uy Peñarol,60.0,,Dudu,4-3-3,4-4-2,Juan Bravo,Match Report,,2017,brasileirao,24,2017 Palmeiras,23,10,43.5,0.13,0.3,
2017-04-26,21:45,Libertadores,Group stage,Wed,Away,W,3,2,uy Peñarol,53.0,,Fernando Prass,3-4-3,4-4-2,Enrique Cáceres,Match Report,,2017,brasileirao,24,2017 Palmeiras,9,4,44.4,0.33,0.75,
2017-05-03,20:45,Libertadores,Group stage,Wed,Away,L,2,3,bo Wilstermann,49.0,,Dudu,4-1-4-1,4-2-3-1,Wilson Lamouroux,Match Report,,2017,brasileirao,24,2017 Palmeiras,10,1,10.0,0.1,1.0,
2017-05-14,16:00,Série A,Matchweek 1,Sun,Home,W,4,0,Vasco da Gama,51.0,3325.0,Zé Roberto,4-3-3,4-2-3-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,9,56.3,0.13,0.22,
2017-05-20,19:00,Série A,Matchweek 2,Sat,Away,L,0,1,Chapecoense,55.0,10323.0,Fernando Prass,4-3-3,4-1-4-1,André Luiz de Freitas Castro,Match Report,,2017,brasileirao,24,2017 Palmeiras,6,1,16.7,0.0,0.0,
2017-05-24,21:45,Libertadores,Group stage,Wed,Home,W,3,1,ar Atlé Tucumán,56.0,,Zé Roberto,4-3-3,4-1-4-1,Wilmar Roldán,Match Report,,2017,brasileirao,24,2017 Palmeiras,21,9,42.9,0.14,0.33,
2017-05-27,19:00,Série A,Matchweek 3,Sat,Away,L,0,2,São Paulo,63.0,33288.0,Dudu,4-3-2-1,3-4-3,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Palmeiras,10,1,10.0,0.0,0.0,
2017-06-04,16:00,Série A,Matchweek 4,Sun,Home,D,0,0,Atlético Mineiro,53.0,34240.0,Fernando Prass,4-3-3,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,6,40.0,0.0,0.0,
2017-06-07,19:30,Série A,Matchweek 5,Wed,Away,L,0,1,Coritiba,56.0,16648.0,Fernando Prass,4-4-2,4-3-3,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Palmeiras,13,5,38.5,0.0,0.0,
2017-06-10,16:00,Série A,Matchweek 6,Sat,Home,W,3,1,Fluminense,56.0,33066.0,Zé Roberto,4-1-4-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,6,37.5,0.19,0.5,
2017-06-14,21:45,Série A,Matchweek 7,Wed,Away,L,0,1,Santos,54.0,10143.0,Fernando Prass,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,6,37.5,0.0,0.0,
2017-06-18,16:00,Série A,Matchweek 8,Sun,Away,W,4,2,Bahia,38.0,33186.0,Fernando Prass,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,6,37.5,0.19,0.5,
2017-06-21,21:00,Série A,Matchweek 9,Wed,Home,W,1,0,Atl Goianiense,68.0,29014.0,Fernando Prass,4-2-3-1,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,2017,brasileirao,24,2017 Palmeiras,12,4,33.3,0.08,0.25,
2017-06-25,16:00,Série A,Matchweek 10,Sun,Away,W,2,1,Ponte Preta,45.0,6051.0,Fernando Prass,4-1-4-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Palmeiras,6,2,33.3,0.33,1.0,
2017-07-01,16:00,Série A,Matchweek 11,Sat,Home,W,1,0,Grêmio,60.0,31395.0,Fernando Prass,4-3-3,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Palmeiras,13,1,7.7,0.0,0.0,
2017-07-05,19:45,Libertadores,Round of 16,Wed,Away,L,0,1,ec Barcelona,41.0,,Fernando Prass,4-3-3,4-2-3-1,Patricio Loustau,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Palmeiras,5,3,60.0,0.0,0.0,
2017-07-09,16:00,Série A,Matchweek 12,Sun,Away,L,1,3,Cruzeiro,62.0,19090.0,Dudu,4-3-3,4-4-2,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Palmeiras,8,1,12.5,0.13,1.0,
2017-07-12,21:45,Série A,Matchweek 13,Wed,Home,L,0,2,Corinthians,61.0,39091.0,Fernando Prass,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Palmeiras,18,3,16.7,0.0,0.0,
2017-07-16,11:00,Série A,Matchweek 14,Sun,Home,W,4,2,Vitória,56.0,36263.0,Dudu,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,6,40.0,0.2,0.5,
2017-07-19,21:45,Série A,Matchweek 15,Wed,Away,D,2,2,Flamengo,38.0,15103.0,Dudu,4-3-3,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2017,brasileirao,24,2017 Palmeiras,7,5,71.4,0.29,0.4,
2017-07-23,16:00,Série A,Matchweek 16,Sun,Away,W,2,0,Sport Recife,38.0,37430.0,Jean,4-3-3,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Palmeiras,7,4,57.1,0.29,0.5,
2017-07-29,19:00,Série A,Matchweek 17,Sat,Home,W,2,0,Avaí,71.0,33633.0,Dudu,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,3,20.0,0.13,0.67,
2017-08-02,21:45,Série A,Matchweek 18,Wed,Away,W,2,1,Botafogo (RJ),45.0,7517.0,Dudu,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,3,20.0,0.07,0.33,
2017-08-06,16:00,Série A,Matchweek 19,Sun,Home,L,0,1,Ath Paranaense,66.0,29779.0,Zé Roberto,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,2017,brasileirao,24,2017 Palmeiras,20,3,15.0,0.0,0.0,
2017-08-09,21:45,Libertadores,Round of 16,Wed,Home,W,1 (4),0 (5),ec Barcelona,55.0,,Dudu,4-2-3-1,4-2-3-1,Néstor Pitana,Match Report,Leg 2 of 2; Barcelona won; Barcelona won on penalty kicks following extra time,2017,brasileirao,24,2017 Palmeiras,12,1,8.3,0.08,1.0,
2017-08-13,16:00,Série A,Matchweek 20,Sun,Away,D,1,1,Vasco da Gama,59.0,5323.0,Fernando Prass,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,2017,brasileirao,24,2017 Palmeiras,7,3,42.9,0.14,0.33,
2017-08-20,19:00,Série A,Matchweek 21,Sun,Home,L,0,2,Chapecoense,71.0,21261.0,Fernando Prass,4-2-3-1,4-1-4-1,Dyorgines José Padovani Andrade,Match Report,,2017,brasileirao,24,2017 Palmeiras,13,3,23.1,0.0,0.0,
2017-08-27,16:00,Série A,Matchweek 22,Sun,Home,W,4,2,São Paulo,58.0,33537.0,Fernando Prass,4-1-2-1-2◆,4-1-4-1,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Palmeiras,25,8,32.0,0.16,0.5,
2017-09-09,16:00,Série A,Matchweek 23,Sat,Away,D,1,1,Atlético Mineiro,39.0,25672.0,Fernando Prass,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Palmeiras,9,5,55.6,0.11,0.2,
2017-09-18,20:00,Série A,Matchweek 24,Mon,Home,W,1,0,Coritiba,49.0,26440.0,Dudu,4-3-3,4-4-1-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Palmeiras,17,8,47.1,0.06,0.13,
2017-09-24,16:00,Série A,Matchweek 25,Sun,Away,W,1,0,Fluminense,49.0,13145.0,Dudu,4-3-3,4-1-4-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,4,26.7,0.07,0.25,
2017-09-30,19:00,Série A,Matchweek 26,Sat,Home,L,0,1,Santos,62.0,37527.0,Dudu,4-3-3,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,1,6.3,0.0,0.0,
2017-10-12,21:00,Série A,Matchweek 27,Thu,Home,D,2,2,Bahia,45.0,25234.0,Dudu,4-3-3,4-2-3-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Palmeiras,12,4,33.3,0.17,0.5,
2017-10-15,17:00,Série A,Matchweek 28,Sun,Away,W,3,1,Atl Goianiense,58.0,12619.0,Willian,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,9,60.0,0.2,0.33,
2017-10-19,20:00,Série A,Matchweek 29,Thu,Home,W,2,0,Ponte Preta,64.0,19976.0,Dudu,4-2-3-1,4-1-4-1,Leandro Bizzio Marinho,Match Report,,2017,brasileirao,24,2017 Palmeiras,14,7,50.0,0.14,0.29,
2017-10-22,17:00,Série A,Matchweek 30,Sun,Away,W,3,1,Grêmio,51.0,16238.0,Fernando Prass,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Palmeiras,12,5,41.7,0.25,0.6,
2017-10-30,20:00,Série A,Matchweek 31,Mon,Home,D,2,2,Cruzeiro,63.0,37961.0,Dudu,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2017,brasileirao,24,2017 Palmeiras,24,10,41.7,0.08,0.2,
2017-11-05,17:00,Série A,Matchweek 32,Sun,Away,L,2,3,Corinthians,61.0,46090.0,Dudu,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Palmeiras,15,2,13.3,0.13,1.0,
2017-11-08,20:45,Série A,Matchweek 33,Wed,Away,L,1,3,Vitória,74.0,14803.0,Dudu,4-3-3,4-1-2-1-2,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Palmeiras,12,3,25.0,0.08,0.33,
2017-11-12,17:00,Série A,Matchweek 34,Sun,Home,W,2,0,Flamengo,46.0,27831.0,Dudu,4-3-3,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Palmeiras,10,5,50.0,0.2,0.4,
2017-11-16,20:00,Série A,Matchweek 35,Thu,Home,W,5,1,Sport Recife,58.0,18744.0,Dudu,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Palmeiras,16,5,31.3,0.31,1.0,
2017-11-20,20:00,Série A,Matchweek 36,Mon,Away,L,1,2,Avaí,71.0,11082.0,Fernando Prass,4-3-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Palmeiras,21,8,38.1,0.05,0.13,
2017-11-27,20:00,Série A,Matchweek 37,Mon,Home,W,2,0,Botafogo (RJ),63.0,23562.0,Dudu,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2017,brasileirao,24,2017 Palmeiras,11,6,54.5,0.18,0.33,
2017-12-03,17:00,Série A,Matchweek 38,Sun,Away,L,0,3,Ath Paranaense,65.0,12879.0,Dudu,4-3-3,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,2017,brasileirao,24,2017 Palmeiras,17,1,5.9,0.0,0.0,
2017-03-09,19:45,Libertadores,Group stage,Thu,Away,D,1,1,pe Sporting Cristal,50.0,,Ricardo Oliveira,4-2-3-1,4-2-3-1,José Argote,Match Report,,2017,brasileirao,24,2017 Santos,8,6,75.0,0.13,0.17,
2017-03-16,21:45,Libertadores,Group stage,Thu,Home,W,2,0,bo The Strongest,66.0,,Ricardo Oliveira,4-2-3-1,4-4-2,Néstor Pitana,Match Report,,2017,brasileirao,24,2017 Santos,18,9,50.0,0.11,0.22,
2017-04-19,19:45,Libertadores,Group stage,Wed,Away,D,0,0,co Santa Fe,,,Ricardo Oliveira,4-2-3-1,4-4-2,Fernando Rapallini,Match Report,,2017,brasileirao,24,2017 Santos,0,0,,,,
2017-05-04,21:45,Libertadores,Group stage,Thu,Home,W,3,2,co Santa Fe,55.0,,Renato,4-2-3-1,4-4-2,Andrés Cunha,Match Report,,2017,brasileirao,24,2017 Santos,9,5,55.6,0.33,0.6,
2017-05-14,11:00,Série A,Matchweek 1,Sun,Away,L,2,3,Fluminense,62.0,11835.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Santos,20,7,35.0,0.1,0.29,
2017-05-17,18:30,Libertadores,Group stage,Wed,Away,D,1,1,bo The Strongest,28.0,,Renato,4-2-3-1,4-3-2-1,Darío Herrera,Match Report,,2017,brasileirao,24,2017 Santos,5,1,20.0,0.2,1.0,
2017-05-20,16:00,Série A,Matchweek 2,Sat,Home,W,1,0,Coritiba,47.0,5921.0,Ricardo Oliveira,4-2-3-1,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Santos,7,3,42.9,0.14,0.33,
2017-05-23,21:45,Libertadores,Group stage,Tue,Home,W,4,0,pe Sporting Cristal,52.0,,Ricardo Oliveira,4-2-3-1,4-5-1,José Méndez,Match Report,,2017,brasileirao,24,2017 Santos,11,8,72.7,0.36,0.5,
2017-05-28,16:00,Série A,Matchweek 3,Sun,Home,L,0,1,Cruzeiro,54.0,7025.0,Ricardo Oliveira,4-2-3-1,4-3-2-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Santos,12,1,8.3,0.0,0.0,
2017-06-03,19:00,Série A,Matchweek 4,Sat,Away,L,0,2,Corinthians,50.0,40169.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Santos,6,0,0.0,0.0,,
2017-06-07,21:00,Série A,Matchweek 5,Wed,Home,W,1,0,Botafogo (RJ),61.0,14486.0,Renato,4-1-4-1,4-4-1-1,Jailson Macêdo Freitas,Match Report,,2017,brasileirao,24,2017 Santos,8,3,37.5,0.13,0.33,
2017-06-11,19:00,Série A,Matchweek 6,Sun,Away,W,2,0,Ath Paranaense,43.0,18112.0,Renato,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Santos,10,5,50.0,0.2,0.4,
2017-06-14,21:45,Série A,Matchweek 7,Wed,Home,W,1,0,Palmeiras,46.0,10143.0,Renato,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Santos,9,5,55.6,0.11,0.2,
2017-06-17,21:00,Série A,Matchweek 8,Sat,Home,D,0,0,Ponte Preta,58.0,19984.0,Renato,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2017,brasileirao,24,2017 Santos,13,4,30.8,0.0,0.0,
2017-06-21,19:30,Série A,Matchweek 9,Wed,Away,W,2,0,Vitória,41.0,7855.0,Renato,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2017,brasileirao,24,2017 Santos,10,6,60.0,0.2,0.33,
