Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2024-06-22,16:00,Série A,Matchweek 11,Sat,Away,L,1,2,Criciúma,0.7,1.3,61.0,16256.0,Tchê Tchê,4-4-2,5-3-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),11,2,18.2,0.09,0.5,16.6,4,2,50.0,1.4,-0.6,469.0,575.0,81.6,8863.0,3053.0,1,0.6,0.8,3.0,56.0,8.0,60.0,3.0,31,1.0,7.0,21.0,2.0,12.0,4,5.0,1.0,10.0,14,14.0,0.0,163.0,14.0,12.0,14.0,8.0,14,1,40.0,44.8
2024-06-26,19:00,Série A,Matchweek 12,Wed,Home,W,2,1,Red Bull Bragantino,0.6,1.5,49.0,13333.0,Tchê Tchê,4-2-3-1,3-4-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),12,4,33.3,0.17,0.5,23.1,6,5,83.3,2.2,1.2,349.0,459.0,76.0,7098.0,2409.0,2,0.4,0.4,0.0,26.0,8.0,31.0,3.0,21,0.0,7.0,21.0,4.0,15.0,10,5.0,3.0,6.0,11,21.0,1.0,127.0,11.0,9.0,10.0,9.0,13,1,40.0,51.1
2024-06-29,18:30,Série A,Matchweek 13,Sat,Away,D,1,1,Vasco da Gama,0.5,0.5,47.0,15593.0,Tchê Tchê,4-4-2,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),13,6,46.2,0.08,0.17,19.8,2,1,50.0,0.5,-0.5,322.0,422.0,76.3,5569.0,2088.0,1,0.4,0.4,2.0,38.0,10.0,27.0,3.0,18,0.0,5.0,21.0,1.0,20.0,13,7.0,5.0,9.0,7,16.0,0.0,110.0,14.0,6.0,9.0,5.0,23,0,35.0,40.6
2024-07-03,18:00,Série A,Matchweek 14,Wed,Away,W,2,1,Cuiabá,0.8,1.6,49.0,,Marlon Freitas,4-4-2,5-4-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),6,4,66.7,0.33,0.5,17.9,6,5,100.0,1.9,0.9,407.0,492.0,82.7,7730.0,2719.0,1,0.2,0.3,0.0,33.0,3.0,26.0,2.0,13,2.0,5.0,9.0,3.0,13.0,10,8.0,2.0,7.0,12,26.0,1.0,77.0,10.0,5.0,10.0,4.0,15,7,30.0,69.0
2024-07-07,20:30,Série A,Matchweek 15,Sun,Home,W,3,0,Atlético Mineiro,1.1,0.2,58.0,,Marlon Freitas,4-2-3-1,3-4-3,,Match Report,,2024,brasileirao,24,Botafogo (RJ),19,8,42.1,0.16,0.38,22.5,2,2,100.0,0.4,0.4,461.0,536.0,86.0,8276.0,2861.0,2,0.9,1.0,1.0,57.0,12.0,41.0,2.0,18,5.0,3.0,35.0,6.0,18.0,10,5.0,2.0,4.0,4,5.0,0.0,166.0,20.0,22.0,12.0,3.0,19,0,44.0,52.4
2024-07-11,21:30,Série A,Matchweek 16,Thu,Away,W,1,0,Vitória,2.1,1.0,54.0,,Marlon Freitas,4-4-2,4-1-4-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),14,4,28.6,0.07,0.25,17.2,4,4,100.0,0.9,0.9,422.0,499.0,84.6,7698.0,2763.0,0,0.7,1.0,5.0,31.0,10.0,30.0,3.0,15,1.0,5.0,26.0,1.0,24.0,15,12.0,2.0,3.0,12,29.0,0.0,108.0,7.0,5.0,8.0,12.0,24,2,39.0,54.8
2024-07-17,21:30,Série A,Matchweek 17,Wed,Home,W,1,0,Palmeiras,1.8,1.2,43.0,,Marlon Freitas,4-2-3-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),16,7,43.8,0.06,0.14,16.5,5,5,100.0,0.9,0.9,200.0,305.0,65.6,4505.0,2271.0,1,1.7,1.1,4.0,26.0,14.0,22.0,3.0,19,1.0,5.0,30.0,2.0,12.0,5,4.0,2.0,14.0,12,45.0,0.0,114.0,11.0,4.0,15.0,13.0,20,2,37.0,61.9
2024-07-20,18:30,Série A,Matchweek 18,Sat,Home,W,1,0,Internacional,0.5,0.7,48.0,,Tchê Tchê,4-2-2-2,4-1-3-2,,Match Report,,2024,brasileirao,24,Botafogo (RJ),10,4,40.0,0.1,0.25,16.8,1,1,100.0,0.0,0.0,308.0,419.0,73.5,6186.0,2322.0,0,0.4,0.5,1.0,30.0,6.0,27.0,2.0,19,2.0,2.0,15.0,2.0,15.0,8,6.0,1.0,10.0,9,24.0,0.0,151.0,13.0,8.0,21.0,11.0,16,2,51.0,60.4
2024-07-24,19:30,Série A,Matchweek 19,Wed,Away,D,2,2,São Paulo,1.7,2.0,32.0,,Tchê Tchê,4-2-3-1,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),11,5,45.5,0.09,0.2,14.2,6,4,83.3,2.4,0.4,223.0,292.0,76.4,4164.0,1997.0,1,0.8,0.5,2.0,12.0,9.0,18.0,1.0,10,0.0,1.0,22.0,3.0,19.0,15,13.0,0.0,13.0,7,20.0,0.0,61.0,5.0,3.0,11.0,14.0,22,0,34.0,47.6
2024-07-27,21:30,Série A,Matchweek 20,Sat,Home,L,0,3,Cruzeiro,2.2,0.6,58.0,,Tchê Tchê,4-4-2,4-2-3-1,,Match Report,,2024,brasileirao,24,Botafogo (RJ),19,10,52.6,0.0,0.0,14.3,5,2,40.0,1.5,-1.5,461.0,556.0,82.9,9157.0,3407.0,0,1.4,2.0,6.0,54.0,16.0,52.0,5.0,37,0.0,8.0,35.0,0.0,13.0,9,7.0,2.0,9.0,8,13.0,0.0,192.0,12.0,6.0,8.0,11.0,14,2,40.0,46.4
