season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Opponent Total,,,26.5,38.0,418.0,3420.0,38.0,48.0,35.0,83.0,45.0,3.0,6.0,118.0,7.0,1.26,0.92,2.18,1.18,2.11,,la_liga,12,malaga,1c896955,,,,,,,,,,,,
2014-2015,Kiko Casilla,es ESP,GK,27.0,37.0,37.0,3280.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Álvaro González,es ESP,DF,24.0,36.0,34.0,3141.0,34.9,1.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Sergio García,es ESP,"FW,MF",31.0,35.0,34.0,3015.0,33.5,14.0,8.0,22.0,12.0,2.0,2.0,9.0,0.0,0.42,0.24,0.66,0.36,0.6,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Lucas Vázquez,es ESP,"DF,FW",23.0,33.0,30.0,2741.0,30.5,3.0,6.0,9.0,3.0,0.0,0.0,6.0,0.0,0.1,0.2,0.3,0.1,0.3,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Víctor Sánchez,es ESP,"DF,MF",26.0,34.0,29.0,2563.0,28.5,3.0,3.0,6.0,3.0,0.0,0.0,18.0,0.0,0.11,0.11,0.21,0.11,0.21,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Anaitz Arbilla,es ESP,DF,27.0,28.0,25.0,2234.0,24.8,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Javi López,es ESP,"DF,MF",28.0,28.0,25.0,2180.0,24.2,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,Felipe Caicedo,ec ECU,"FW,MF",25.0,35.0,25.0,1887.0,21.0,9.0,3.0,12.0,9.0,0.0,0.0,2.0,0.0,0.43,0.14,0.57,0.43,0.57,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
2014-2015,José Cañas,es ESP,MF,27.0,29.0,24.0,2212.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,la_liga,12,espanyol,a8661628,,,,,,,,,,,,
