season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Roberto Soriano,it ITA,MF,23.0,33.0,29.0,2525.0,28.1,4.0,2.0,6.0,4.0,0.0,0.0,11.0,0.0,0.14,0.07,0.21,0.14,0.21,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Alessio Romagnoli,it ITA,DF,19.0,30.0,28.0,2535.0,28.2,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Matías Silvestre,ar ARG,DF,29.0,29.0,28.0,2508.0,27.9,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Éder,it ITA,FW,27.0,30.0,28.0,2358.0,26.2,9.0,3.0,12.0,8.0,1.0,1.0,4.0,0.0,0.34,0.11,0.46,0.31,0.42,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Stefano Okaka,it ITA,FW,24.0,32.0,26.0,2386.0,26.5,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,0.15,0.08,0.23,0.15,0.23,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Vasco Regini,it ITA,DF,23.0,28.0,25.0,2178.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Alfred Duncan,gh GHA,MF,21.0,26.0,13.0,1337.0,14.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.07,0.13,0.2,0.07,0.2,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Samuel Eto'o,cm CMR,FW,33.0,18.0,13.0,1226.0,13.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.15,0.22,0.37,0.15,0.37,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Daniele Gastaldello,it ITA,DF,31.0,14.0,13.0,1185.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Djamel Mesbah,dz ALG,"DF,MF",29.0,16.0,12.0,1159.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Luis Muriel,co COL,FW,23.0,16.0,11.0,1008.0,11.2,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,0.36,0.36,0.71,0.36,0.71,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Manolo Gabbiadini,it ITA,FW,22.0,13.0,11.0,975.0,10.8,7.0,2.0,9.0,7.0,0.0,0.0,4.0,0.0,0.65,0.18,0.83,0.65,0.83,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
2014-2015,Afriyie Acquah,gh GHA,MF,22.0,10.0,10.0,713.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.13,0.0,0.13,0.13,0.13,Matches,serie_a,11,sampdoria,8ff9e3b3,,,,,,,,,,,,
