Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2023-07-16,18:30,Série A,Matchweek 15,Sun,Away,D,0,0,Internacional,1.4,0.5,53,41823.0,Gustavo Gómez,4-3-3,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,2023,brasileirao,24,2023 Palmeiras,16,5,31.3,0.0,0.0,19.8,4,4,100.0,0.9,0.9,389.0,488.0,79.7,7785.0,2658.0,0,0.4,0.4,3.0,34.0,7.0,37.0,2.0,19,0.0,7.0,26.0,0.0,24.0,15,14.0,3.0,10.0,3,16.0,0.0,141.0,20.0,14.0,17.0,12.0,13,2,57.0,53.3
2023-07-22,16:00,Série A,Matchweek 16,Sat,Home,W,3,1,Fortaleza,1.4,1.5,63,39699.0,Gustavo Gómez,4-2-3-1,4-1-4-1,Rafael Rodrigo Klein,Match Report,,2023,brasileirao,24,2023 Palmeiras,14,7,50.0,0.21,0.43,18.7,6,5,100.0,2.3,1.3,385.0,476.0,80.9,7755.0,2739.0,1,1.0,0.9,3.0,37.0,10.0,28.0,5.0,20,2.0,4.0,25.0,6.0,13.0,9,9.0,2.0,9.0,10,13.0,0.0,136.0,21.0,18.0,9.0,5.0,17,1,39.0,51.9
2023-07-30,16:00,Série A,Matchweek 17,Sun,Away,W,4,1,América (MG),0.9,1.4,51,5928.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Braulio Machado,Match Report,,2023,brasileirao,24,2023 Palmeiras,14,7,50.0,0.29,0.57,19.9,7,6,85.7,1.2,0.2,374.0,477.0,78.4,7252.0,2857.0,4,0.7,1.0,1.0,38.0,8.0,35.0,5.0,15,7.0,4.0,24.0,8.0,20.0,16,10.0,1.0,11.0,9,16.0,0.0,117.0,15.0,12.0,12.0,4.0,12,7,62.0,50.0
2023-08-02,21:30,Libertadores,Round of 16,Wed,Away,W,1,0,br Atlético Mineiro,0.2,0.6,49,52587.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Facundo Tello,Match Report,Leg 1 of 2,2023,brasileirao,24,2023 Palmeiras,7,3,42.9,0.14,0.33,21.5,1,1,100.0,0.1,0.1,296.0,423.0,70.0,5934.0,2289.0,0,0.1,0.2,1.0,31.0,5.0,31.0,5.0,26,0.0,5.0,14.0,2.0,25.0,12,13.0,1.0,13.0,4,34.0,0.0,122.0,15.0,7.0,12.0,4.0,20,3,62.0,36.4
2023-08-05,21:00,Série A,Matchweek 18,Sat,Away,L,1,2,Fluminense,1.0,2.6,45,77973.0,Gustavo Gómez,4-2-3-1,4-4-2,Ramon Abatti Abel,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,5,27.8,0.06,0.2,16.2,5,3,80.0,1.9,-0.1,277.0,371.0,74.7,6107.0,2315.0,1,0.8,1.0,9.0,42.0,16.0,32.0,4.0,36,0.0,8.0,35.0,2.0,16.0,7,4.0,5.0,13.0,11,4.0,0.0,169.0,16.0,5.0,12.0,6.0,22,3,46.0,40.0
2023-08-09,21:30,Libertadores,Round of 16,Wed,Home,D,0,0,br Atlético Mineiro,1.4,0.8,45,,Gustavo Gómez,4-2-3-1,4-2-3-1,Fernando Rapallini,Match Report,Leg 2 of 2; Palmeiras won,2023,brasileirao,24,2023 Palmeiras,19,7,36.8,0.0,0.0,23.7,0,0,,0.0,0.0,293.0,400.0,73.3,5240.0,2105.0,0,1.2,1.3,3.0,39.0,12.0,17.0,0.0,20,3.0,4.0,29.0,0.0,21.0,11,4.0,6.0,13.0,11,12.0,0.0,132.0,24.0,15.0,17.0,10.0,12,1,54.0,56.3
2023-08-14,19:00,Série A,Matchweek 19,Mon,Home,W,1,0,Cruzeiro,1.4,0.6,52,38555.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,2023,brasileirao,24,2023 Palmeiras,12,4,33.3,0.08,0.25,18.6,5,5,100.0,0.6,0.6,377.0,479.0,78.7,8038.0,2911.0,1,1.4,1.1,2.0,48.0,10.0,37.0,8.0,26,1.0,3.0,23.0,2.0,16.0,8,4.0,2.0,14.0,10,17.0,0.0,129.0,18.0,10.0,7.0,6.0,13,1,60.0,32.3
2023-08-19,17:30,Série A,Matchweek 20,Sat,Away,W,2,0,Cuiabá,1.7,0.7,47,19115.0,Marcos Rocha,4-2-3-1,4-3-3,André Luiz Skettino Policarpo Bento,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,5,27.8,0.11,0.4,17.4,2,2,100.0,0.5,0.5,330.0,407.0,81.1,6463.0,2324.0,1,1.6,1.3,6.0,34.0,14.0,25.0,2.0,15,1.0,2.0,31.0,3.0,10.0,7,6.0,1.0,15.0,5,35.0,0.0,130.0,15.0,8.0,9.0,6.0,18,1,55.0,42.9
2023-08-23,19:30,Libertadores,Quarter-finals,Wed,Away,W,4,0,co Pereira,3.2,0.5,59,22789.0,Gustavo Gómez,4-2-3-1,5-3-2,Facundo Tello,Match Report,Leg 1 of 2,2023,brasileirao,24,2023 Palmeiras,8,4,50.0,0.38,0.75,15.5,2,2,100.0,0.6,0.6,439.0,524.0,83.8,7868.0,2389.0,3,2.4,1.6,0.0,33.0,7.0,23.0,10.0,14,2.0,4.0,16.0,7.0,14.0,12,7.0,1.0,7.0,7,13.0,0.0,109.0,19.0,10.0,11.0,6.0,7,0,51.0,45.0
2023-08-27,18:30,Série A,Matchweek 21,Sun,Home,W,1,0,Vasco da Gama,0.7,0.1,55,40292.0,Gustavo Gómez,4-2-3-1,4-1-4-1,Wilton Sampaio,Match Report,,2023,brasileirao,24,2023 Palmeiras,13,5,38.5,0.08,0.2,22.9,2,2,100.0,0.1,0.1,472.0,569.0,83.0,8724.0,2702.0,0,0.5,0.6,1.0,54.0,8.0,52.0,4.0,32,1.0,9.0,23.0,2.0,16.0,10,6.0,2.0,6.0,4,17.0,0.0,194.0,30.0,20.0,11.0,6.0,20,2,42.0,39.3
2023-08-30,21:30,Libertadores,Quarter-finals,Wed,Home,D,0,0,co Pereira,1.1,0.4,60,37785.0,Gustavo Gómez,3-5-2,5-3-2,Cristián Garay,Match Report,Leg 2 of 2; Palmeiras won,2023,brasileirao,24,2023 Palmeiras,12,7,58.3,0.0,0.0,15.9,3,3,100.0,0.4,0.4,404.0,511.0,79.1,7666.0,2673.0,0,0.9,1.0,3.0,41.0,11.0,26.0,4.0,21,1.0,6.0,22.0,0.0,10.0,7,3.0,0.0,7.0,8,11.0,0.0,111.0,19.0,14.0,20.0,7.0,12,0,62.0,37.8
2023-09-03,16:00,Série A,Matchweek 22,Sun,Away,D,0,0,Corinthians,0.7,0.8,57,44371.0,Gustavo Gómez,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2023,brasileirao,24,2023 Palmeiras,16,4,25.0,0.0,0.0,24.6,2,2,100.0,0.8,0.8,434.0,533.0,81.4,8881.0,3192.0,0,0.7,1.0,4.0,54.0,12.0,45.0,3.0,33,0.0,11.0,27.0,0.0,16.0,14,7.0,5.0,3.0,10,10.0,0.0,198.0,21.0,14.0,7.0,6.0,17,1,44.0,40.7
2023-09-15,21:30,Série A,Matchweek 23,Fri,Home,W,1,0,Goiás,1.1,0.5,67,38146.0,Gustavo Gómez,4-2-3-1,4-3-3,Savio Pereira,Match Report,,2023,brasileirao,24,2023 Palmeiras,18,6,33.3,0.06,0.17,18.6,3,3,100.0,0.1,0.1,522.0,635.0,82.2,10393.0,3252.0,0,0.7,0.8,7.0,59.0,11.0,46.0,8.0,44,0.0,6.0,33.0,1.0,16.0,11,5.0,2.0,9.0,6,6.0,0.0,186.0,26.0,20.0,17.0,7.0,12,2,52.0,47.2
