season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2020-2021,2020-09-27,17:00,Ligue 1,Matchweek 5,Sun,Home,D,1,1,Lyon,31.0,,Fabien Lemoine,5-4-1,Clément Turpin,Match Report,,ligue_1,13,lorient,d2c87802,4.0,2.0,50.0,0.25,0.5,14.0,0.2,1.0,6.0,5.0,83.3,0.9,-0.1,237.0,333.0,71.2,4689.0,2050.0,1.0,0.3,0.4,1.0,17.0,4.0,14.0,0.0,8.0,1.0,1.0,7.0,2.0,26.0,17.0,15.0,2.0,10.0,15.0,27.0,0.0,46.0,11.0,9.0,13.0,2.0,19.0,1.0,41.0,59.1
2020-2021,2020-10-04,15:00,Ligue 1,Matchweek 6,Sun,Away,L,1,3,Metz,42.0,,Fabien Lemoine,5-4-1,Jérôme Miguelgorry,Match Report,,ligue_1,13,lorient,d2c87802,10.0,4.0,40.0,0.1,0.25,22.9,0.7,1.6,8.0,5.0,75.0,2.7,-0.3,319.0,426.0,74.9,5378.0,2456.0,0.0,0.3,0.4,2.0,29.0,6.0,23.0,2.0,15.0,0.0,3.0,18.0,1.0,19.0,13.0,12.0,0.0,12.0,9.0,15.0,0.0,83.0,14.0,8.0,18.0,9.0,15.0,1.0,61.0,29.2
2020-2021,2020-10-17,17:00,Ligue 1,Matchweek 7,Sat,Away,W,3,1,Reims,53.0,,Jérémy Morel,4-4-2,Mikael Lesage,Match Report,,ligue_1,13,lorient,d2c87802,13.0,3.0,23.1,0.15,0.67,17.6,2.7,0.3,3.0,2.0,66.7,0.6,-0.4,322.0,439.0,73.3,6116.0,2102.0,1.0,1.1,1.0,1.0,35.0,5.0,20.0,2.0,22.0,1.0,6.0,21.0,5.0,21.0,13.0,10.0,1.0,5.0,20.0,12.0,0.0,101.0,15.0,10.0,17.0,10.0,11.0,2.0,54.0,48.6
2020-2021,2020-10-24,17:00,Ligue 1,Matchweek 8,Sat,Home,L,0,1,Marseille,36.0,,Jérémy Morel,4-4-2,Benoît Bastien,Match Report,,ligue_1,13,lorient,d2c87802,12.0,3.0,25.0,0.0,0.0,18.2,0.8,1.2,3.0,2.0,66.7,0.8,-0.2,235.0,346.0,67.9,4328.0,2102.0,0.0,0.4,0.5,4.0,25.0,9.0,19.0,4.0,23.0,0.0,6.0,19.0,0.0,25.0,17.0,11.0,6.0,16.0,20.0,8.0,1.0,131.0,7.0,12.0,21.0,11.0,10.0,1.0,44.0,62.2
2020-2021,2020-11-01,15:00,Ligue 1,Matchweek 9,Sun,Away,D,0,0,Dijon,46.0,,Jérémy Morel,4-4-2,Aurélien Petit,Match Report,,ligue_1,13,lorient,d2c87802,8.0,1.0,12.5,0.0,0.0,23.1,1.2,0.4,2.0,2.0,100.0,0.1,0.1,339.0,456.0,74.3,5949.0,2499.0,0.0,0.4,0.4,2.0,31.0,7.0,25.0,3.0,21.0,0.0,7.0,17.0,0.0,12.0,7.0,4.0,0.0,14.0,15.0,25.0,0.0,101.0,11.0,11.0,21.0,5.0,13.0,3.0,56.0,53.3
2020-2021,2020-11-08,15:00,Ligue 1,Matchweek 10,Sun,Home,L,0,2,Nantes,48.0,,Jérémy Morel,4-4-2,Stéphanie Frappart,Match Report,,ligue_1,13,lorient,d2c87802,18.0,4.0,22.2,0.0,0.0,19.1,1.8,1.2,4.0,2.0,50.0,1.9,-0.1,312.0,446.0,70.0,5776.0,2396.0,0.0,1.6,0.9,2.0,32.0,14.0,28.0,3.0,14.0,0.0,5.0,30.0,0.0,22.0,12.0,10.0,2.0,13.0,19.0,18.0,0.0,117.0,15.0,15.0,26.0,10.0,18.0,0.0,54.0,57.1
2020-2021,2020-11-22,21:00,Ligue 1,Matchweek 11,Sun,Away,L,0,4,Lille,36.0,,Jérémy Morel,4-4-1-1,Willy Delajod,Match Report,,ligue_1,13,lorient,d2c87802,7.0,2.0,28.6,0.0,0.0,17.0,0.9,3.6,13.0,9.0,69.2,4.4,0.4,324.0,424.0,76.4,5708.0,2100.0,0.0,0.8,0.8,0.0,17.0,4.0,12.0,2.0,7.0,0.0,4.0,11.0,0.0,28.0,15.0,20.0,2.0,22.0,16.0,18.0,1.0,73.0,12.0,5.0,16.0,17.0,11.0,0.0,55.0,52.4
2020-2021,2020-11-29,15:00,Ligue 1,Matchweek 12,Sun,Home,L,0,1,Montpellier,42.0,,Laurent Abergel,4-2-3-1,Bastien Dechepy,Match Report,,ligue_1,13,lorient,d2c87802,8.0,2.0,25.0,0.0,0.0,17.7,0.5,1.6,3.0,2.0,66.7,0.5,-0.5,293.0,401.0,73.1,5113.0,2170.0,0.0,0.4,0.5,1.0,21.0,7.0,21.0,1.0,14.0,0.0,2.0,13.0,0.0,15.0,6.0,8.0,2.0,10.0,13.0,25.0,0.0,89.0,4.0,6.0,13.0,7.0,13.0,3.0,52.0,37.5
2020-2021,2020-12-06,15:00,Ligue 1,Matchweek 13,Sun,Away,L,0,2,Angers,52.0,,Fabien Lemoine,4-3-3,Thomas Léonard,Match Report,,ligue_1,13,lorient,d2c87802,12.0,3.0,25.0,0.0,0.0,23.7,0.6,2.0,3.0,1.0,33.3,1.3,-0.7,399.0,532.0,75.0,7441.0,2797.0,0.0,0.5,0.7,1.0,42.0,10.0,29.0,2.0,32.0,0.0,12.0,22.0,0.0,27.0,9.0,13.0,1.0,11.0,15.0,13.0,2.0,142.0,22.0,13.0,22.0,15.0,11.0,0.0,72.0,44.2
2020-2021,2020-12-13,15:00,Ligue 1,Matchweek 14,Sun,Home,W,3,0,Nîmes,44.0,,Fabien Lemoine,4-3-3,Karim Abed,Match Report,,ligue_1,13,lorient,d2c87802,12.0,4.0,33.3,0.17,0.5,15.8,2.7,0.5,2.0,2.0,100.0,0.1,0.1,325.0,443.0,73.4,5383.0,2308.0,2.0,1.8,1.3,3.0,34.0,11.0,24.0,2.0,10.0,1.0,2.0,25.0,6.0,14.0,10.0,4.0,0.0,12.0,11.0,36.0,0.0,87.0,14.0,6.0,11.0,10.0,18.0,2.0,70.0,51.3
2020-2021,2020-12-16,21:00,Ligue 1,Matchweek 15,Wed,Away,L,0,2,Paris S-G,26.0,,Laurent Abergel,3-5-2,Johan Hamel,Match Report,,ligue_1,13,lorient,d2c87802,8.0,3.0,37.5,0.0,0.0,14.1,1.4,2.7,8.0,6.0,87.5,2.4,0.4,195.0,279.0,69.9,3509.0,1322.0,0.0,0.8,0.6,0.0,22.0,6.0,9.0,0.0,9.0,0.0,2.0,13.0,0.0,24.0,12.0,12.0,2.0,10.0,11.0,17.0,0.0,64.0,18.0,10.0,15.0,8.0,9.0,0.0,52.0,20.0
2020-2021,2020-12-20,17:00,Ligue 1,Matchweek 16,Sun,Home,L,0,3,Rennes,43.0,,Fabien Lemoine,4-2-3-1,Eric Wattellier,Match Report,,ligue_1,13,lorient,d2c87802,11.0,2.0,18.2,0.0,0.0,21.5,0.8,0.9,4.0,1.0,25.0,1.9,-1.1,388.0,470.0,82.6,6725.0,2659.0,0.0,0.8,0.6,4.0,35.0,9.0,32.0,1.0,11.0,0.0,1.0,21.0,0.0,16.0,11.0,6.0,2.0,14.0,18.0,9.0,0.0,103.0,10.0,15.0,20.0,7.0,19.0,0.0,62.0,64.0
2020-2021,2020-12-23,19:00,Ligue 1,Matchweek 17,Wed,Away,D,2,2,Nice,57.0,,Fabien Lemoine,4-1-4-1,Aurélien Petit,Match Report,,ligue_1,13,lorient,d2c87802,23.0,5.0,21.7,0.04,0.2,21.2,2.6,0.6,3.0,1.0,33.3,1.3,-0.7,545.0,636.0,85.7,9017.0,2742.0,1.0,1.4,1.1,2.0,49.0,15.0,39.0,6.0,33.0,0.0,10.0,38.0,2.0,18.0,13.0,6.0,5.0,3.0,13.0,5.0,0.0,197.0,22.0,18.0,12.0,7.0,13.0,0.0,54.0,42.9
2020-2021,2021-01-06,19:00,Ligue 1,Matchweek 18,Wed,Home,L,2,5,Monaco,41.0,,Laurent Abergel,4-2-3-1,Franck Schneider,Match Report,,ligue_1,13,lorient,d2c87802,11.0,5.0,45.5,0.18,0.4,22.9,1.0,2.6,9.0,4.0,44.4,3.2,-1.8,340.0,434.0,78.3,5881.0,1989.0,0.0,0.2,0.2,1.0,24.0,4.0,24.0,7.0,15.0,0.0,5.0,17.0,1.0,11.0,7.0,4.0,3.0,15.0,15.0,15.0,1.0,118.0,12.0,7.0,17.0,10.0,9.0,2.0,46.0,48.1
2020-2021,2021-01-09,21:00,Ligue 1,Matchweek 19,Sat,Away,L,1,2,Bordeaux,51.0,,Fabien Lemoine,4-3-3,Willy Delajod,Match Report,,ligue_1,13,lorient,d2c87802,12.0,4.0,33.3,0.08,0.25,19.0,1.2,1.3,6.0,4.0,66.7,1.1,-0.9,450.0,561.0,80.2,7610.0,2442.0,0.0,0.6,0.4,0.0,47.0,7.0,38.0,4.0,16.0,0.0,3.0,22.0,1.0,19.0,12.0,9.0,1.0,12.0,15.0,16.0,0.0,153.0,17.0,24.0,15.0,7.0,10.0,4.0,64.0,38.7
2020-2021,2021-01-27,21:00,Ligue 1,Matchweek 20,Wed,Home,W,3,2,Dijon,46.0,,Fabien Lemoine,4-3-3,Bastien Dechepy,Match Report,,ligue_1,13,lorient,d2c87802,14.0,5.0,35.7,0.21,0.6,17.1,1.2,1.3,2.0,0.0,0.0,0.9,-1.1,268.0,378.0,70.9,4953.0,2170.0,1.0,0.8,0.5,1.0,34.0,8.0,22.0,1.0,24.0,0.0,9.0,23.0,5.0,17.0,8.0,7.0,3.0,9.0,19.0,16.0,0.0,132.0,12.0,12.0,19.0,4.0,13.0,4.0,41.0,52.4
2020-2021,2021-01-31,15:00,Ligue 1,Matchweek 22,Sun,Home,W,3,2,Paris S-G,35.0,,Laurent Abergel,5-4-1,Jeremy Stinat,Match Report,,ligue_1,13,lorient,d2c87802,16.0,5.0,31.3,0.19,0.6,19.1,1.8,2.6,3.0,1.0,100.0,2.1,0.1,238.0,322.0,73.9,4116.0,1745.0,1.0,1.2,0.4,0.0,24.0,10.0,15.0,3.0,19.0,2.0,7.0,28.0,4.0,21.0,10.0,11.0,2.0,6.0,18.0,24.0,1.0,94.0,19.0,11.0,15.0,7.0,15.0,1.0,55.0,36.4
2020-2021,2021-02-03,19:00,Ligue 1,Matchweek 23,Wed,Away,D,1,1,Rennes,41.0,,Fabien Lemoine,5-4-1,Hakim Ben El Hadj Salem,Match Report,,ligue_1,13,lorient,d2c87802,12.0,3.0,25.0,0.08,0.33,18.2,0.8,1.0,6.0,5.0,83.3,1.7,0.7,365.0,470.0,77.7,6016.0,2081.0,1.0,0.7,0.4,4.0,25.0,10.0,17.0,7.0,14.0,0.0,3.0,22.0,2.0,11.0,7.0,9.0,1.0,8.0,21.0,16.0,0.0,124.0,11.0,14.0,19.0,4.0,6.0,2.0,52.0,62.1
2020-2021,2021-02-06,17:00,Ligue 1,Matchweek 24,Sat,Home,W,1,0,Reims,40.0,,Laurent Abergel,5-4-1,Thomas Léonard,Match Report,,ligue_1,13,lorient,d2c87802,9.0,3.0,33.3,0.11,0.33,30.6,1.0,0.9,3.0,3.0,100.0,0.5,0.5,280.0,380.0,73.7,4988.0,2131.0,1.0,0.9,0.5,0.0,29.0,6.0,14.0,2.0,11.0,1.0,2.0,13.0,2.0,17.0,10.0,5.0,3.0,14.0,21.0,28.0,0.0,97.0,21.0,19.0,23.0,9.0,12.0,1.0,59.0,59.5
2020-2021,2021-02-09,18:30,Coupe de France,Round of 64,Tue,Home,W,2,1,Paris FC,,,Fabien Lemoine,3-5-2,Eric Wattellier,Match Report,,ligue_1,13,lorient,d2c87802,20.0,7.0,35.0,0.05,0.14,,,,2.0,1.0,50.0,,,,,,,,1.0,,,,,,,,20.0,,,,,,13.0,,,,10.0,,,,,,,,6.0,3.0,,
2020-2021,2021-02-14,13:00,Ligue 1,Matchweek 25,Sun,Away,D,2,2,Monaco,30.0,,Laurent Abergel,5-4-1,Benoît Millot,Match Report,,ligue_1,13,lorient,d2c87802,4.0,1.0,25.0,0.25,1.0,32.9,1.3,2.2,4.0,2.0,75.0,2.5,0.5,227.0,332.0,68.4,4007.0,1711.0,0.0,0.0,0.0,0.0,14.0,1.0,14.0,2.0,3.0,0.0,1.0,5.0,2.0,16.0,11.0,10.0,0.0,15.0,18.0,47.0,0.0,40.0,14.0,7.0,7.0,15.0,13.0,0.0,62.0,44.0
2020-2021,2021-02-21,17:00,Ligue 1,Matchweek 26,Sun,Home,L,1,4,Lille,44.0,,Fabien Lemoine,4-1-4-1,Johan Hamel,Match Report,,ligue_1,13,lorient,d2c87802,8.0,3.0,37.5,0.13,0.33,23.1,0.3,1.0,7.0,4.0,42.9,1.8,-1.2,377.0,472.0,79.9,6838.0,2291.0,1.0,0.1,0.2,0.0,22.0,4.0,14.0,3.0,10.0,0.0,1.0,14.0,2.0,15.0,9.0,7.0,0.0,16.0,15.0,20.0,1.0,73.0,12.0,10.0,21.0,14.0,9.0,2.0,55.0,62.5
2020-2021,2021-02-24,19:00,Ligue 1,Matchweek 21,Wed,Away,L,0,1,Nîmes,51.0,,Laurent Abergel,4-3-3,Jérôme Miguelgorry,Match Report,,ligue_1,13,lorient,d2c87802,11.0,3.0,27.3,0.0,0.0,23.4,0.5,1.0,2.0,1.0,100.0,1.0,0.0,423.0,526.0,80.4,7477.0,2599.0,0.0,0.4,0.7,3.0,49.0,8.0,42.0,5.0,23.0,1.0,7.0,22.0,0.0,28.0,14.0,10.0,4.0,9.0,9.0,20.0,1.0,118.0,15.0,10.0,23.0,10.0,14.0,0.0,52.0,44.0
2020-2021,2021-02-28,15:00,Ligue 1,Matchweek 27,Sun,Home,W,2,1,Saint-Étienne,56.0,,Laurent Abergel,5-4-1,Stéphanie Frappart,Match Report,,ligue_1,13,lorient,d2c87802,11.0,3.0,27.3,0.18,0.67,24.5,1.0,1.1,2.0,1.0,50.0,1.0,0.0,422.0,531.0,79.5,7717.0,2872.0,0.0,0.2,0.3,2.0,39.0,6.0,30.0,6.0,15.0,0.0,5.0,22.0,4.0,23.0,11.0,11.0,1.0,4.0,10.0,16.0,0.0,136.0,18.0,15.0,24.0,7.0,12.0,2.0,59.0,41.9
2020-2021,2021-03-03,21:00,Ligue 1,Matchweek 28,Wed,Away,D,1,1,Montpellier,46.0,,Fabien Lemoine,5-4-1,Benoît Bastien,Match Report,,ligue_1,13,lorient,d2c87802,13.0,5.0,38.5,0.0,0.0,21.7,2.0,0.8,4.0,3.0,75.0,0.2,-0.8,364.0,457.0,79.6,6336.0,2424.0,0.0,1.2,0.9,0.0,33.0,11.0,25.0,4.0,9.0,1.0,3.0,24.0,2.0,29.0,17.0,20.0,0.0,7.0,14.0,21.0,0.0,88.0,21.0,15.0,13.0,6.0,15.0,0.0,51.0,46.7
2020-2021,2021-03-06,16:30,Coupe de France,Round of 32,Sat,Away,L,0,1,Le Puy Foot 43,61.0,,Fabien Lemoine,4-2-3-1,Franck Schneider,Match Report,,ligue_1,13,lorient,d2c87802,14.0,4.0,28.6,0.0,0.0,,,,3.0,2.0,66.7,,,,,,,,0.0,,,,,,,,28.0,,,,,,11.0,,,,16.0,,,,,,,,13.0,0.0,,
2020-2021,2021-03-14,15:00,Ligue 1,Matchweek 29,Sun,Home,D,1,1,Nice,49.0,,Laurent Abergel,3-5-2,Ruddy Buquet,Match Report,,ligue_1,13,lorient,d2c87802,17.0,7.0,41.2,0.06,0.14,18.3,2.2,0.5,2.0,1.0,50.0,0.5,-0.5,453.0,545.0,83.1,8637.0,3301.0,1.0,1.9,1.4,2.0,44.0,12.0,43.0,4.0,17.0,2.0,5.0,27.0,2.0,24.0,13.0,11.0,4.0,6.0,12.0,8.0,0.0,141.0,12.0,7.0,17.0,21.0,2.0,1.0,54.0,68.8
2020-2021,2021-03-21,15:00,Ligue 1,Matchweek 30,Sun,Away,D,1,1,Nantes,63.0,,Fabien Lemoine,3-4-3,Antony Gautier,Match Report,,ligue_1,13,lorient,d2c87802,15.0,3.0,20.0,0.07,0.33,22.6,0.9,1.3,3.0,2.0,66.7,1.3,0.3,544.0,663.0,82.1,10642.0,3412.0,0.0,0.5,0.5,4.0,43.0,10.0,49.0,5.0,24.0,1.0,7.0,25.0,2.0,9.0,7.0,4.0,1.0,11.0,11.0,14.0,1.0,174.0,21.0,13.0,16.0,12.0,8.0,1.0,62.0,52.5
2020-2021,2021-04-04,15:00,Ligue 1,Matchweek 31,Sun,Home,W,1,0,Brest,46.0,,Fabien Lemoine,3-4-3,Bastien Dechepy,Match Report,,ligue_1,13,lorient,d2c87802,13.0,4.0,30.8,0.08,0.25,22.1,1.5,0.7,1.0,1.0,100.0,0.1,0.1,325.0,442.0,73.5,5527.0,2363.0,1.0,1.3,1.4,0.0,24.0,8.0,17.0,2.0,15.0,0.0,6.0,22.0,2.0,15.0,12.0,9.0,0.0,15.0,8.0,6.0,0.0,126.0,15.0,11.0,15.0,9.0,9.0,3.0,59.0,31.4
2020-2021,2021-04-11,15:00,Ligue 1,Matchweek 32,Sun,Away,L,1,4,Lens,62.0,,Fabien Lemoine,3-4-1-2,Eric Wattellier,Match Report,,ligue_1,13,lorient,d2c87802,17.0,5.0,29.4,0.06,0.2,14.1,2.0,3.3,6.0,2.0,66.7,3.5,-0.5,488.0,604.0,80.8,8580.0,2614.0,1.0,1.6,1.7,2.0,45.0,13.0,35.0,4.0,32.0,2.0,10.0,31.0,2.0,18.0,12.0,10.0,2.0,15.0,12.0,8.0,0.0,179.0,17.0,9.0,14.0,9.0,8.0,0.0,54.0,50.0
2020-2021,2021-04-17,17:00,Ligue 1,Matchweek 33,Sat,Away,L,2,3,Marseille,27.0,,Fabien Lemoine,5-4-1,Hakim Ben El Hadj Salem,Match Report,,ligue_1,13,lorient,d2c87802,12.0,6.0,50.0,0.17,0.33,21.8,1.4,2.2,5.0,2.0,40.0,2.6,-0.4,213.0,290.0,73.4,3786.0,1633.0,2.0,1.3,0.7,0.0,16.0,9.0,8.0,3.0,5.0,1.0,3.0,21.0,3.0,9.0,4.0,5.0,0.0,13.0,12.0,28.0,0.0,64.0,16.0,13.0,16.0,5.0,15.0,0.0,51.0,33.3
2020-2021,2021-04-25,15:00,Ligue 1,Matchweek 34,Sun,Home,W,4,1,Bordeaux,43.0,,Fabien Lemoine,5-4-1,Jérémie Pignard,Match Report,,ligue_1,13,lorient,d2c87802,13.0,7.0,53.8,0.31,0.57,16.5,1.9,0.9,7.0,6.0,85.7,1.0,0.0,317.0,417.0,76.0,5594.0,2391.0,4.0,1.8,2.0,3.0,30.0,11.0,25.0,2.0,15.0,4.0,6.0,23.0,8.0,25.0,19.0,15.0,2.0,11.0,8.0,19.0,1.0,135.0,13.0,9.0,19.0,3.0,9.0,1.0,50.0,34.5
2020-2021,2021-05-02,15:00,Ligue 1,Matchweek 35,Sun,Home,W,2,0,Angers,50.0,,Fabien Lemoine,5-3-2,Willy Delajod,Match Report,,ligue_1,13,lorient,d2c87802,12.0,3.0,25.0,0.08,0.33,19.7,1.7,0.8,2.0,2.0,100.0,0.1,0.1,483.0,576.0,83.9,7556.0,2738.0,1.0,0.6,0.7,0.0,35.0,8.0,25.0,2.0,11.0,0.0,5.0,24.0,3.0,15.0,6.0,8.0,0.0,5.0,15.0,16.0,1.0,104.0,22.0,17.0,7.0,9.0,8.0,4.0,63.0,61.9
2020-2021,2021-05-08,17:00,Ligue 1,Matchweek 36,Sat,Away,L,1,4,Lyon,41.0,,Fabien Lemoine,5-3-2,Mikael Lesage,Match Report,,ligue_1,13,lorient,d2c87802,8.0,2.0,25.0,0.13,0.5,22.5,0.6,4.3,10.0,6.0,70.0,3.9,-0.1,360.0,443.0,81.3,6018.0,1997.0,1.0,0.5,0.2,2.0,21.0,6.0,24.0,5.0,8.0,0.0,1.0,13.0,2.0,15.0,9.0,11.0,0.0,12.0,17.0,18.0,0.0,81.0,16.0,9.0,14.0,11.0,10.0,1.0,49.0,31.6
2020-2021,2021-05-16,21:00,Ligue 1,Matchweek 37,Sun,Home,W,2,1,Metz,38.0,,Fabien Lemoine,3-5-2,Florent Batta,Match Report,,ligue_1,13,lorient,d2c87802,5.0,1.0,20.0,0.2,1.0,19.0,1.4,0.1,1.0,0.0,0.0,0.3,-0.7,316.0,412.0,76.7,5250.0,2203.0,1.0,0.6,0.4,0.0,30.0,5.0,21.0,3.0,8.0,0.0,2.0,10.0,4.0,25.0,16.0,12.0,1.0,13.0,7.0,19.0,0.0,109.0,20.0,16.0,18.0,3.0,16.0,0.0,50.0,30.4
2020-2021,2021-05-23,21:00,Ligue 1,Matchweek 38,Sun,Away,D,1,1,Strasbourg,49.0,,Fabien Lemoine,5-3-2,Stéphanie Frappart,Match Report,,ligue_1,13,lorient,d2c87802,7.0,1.0,14.3,0.14,1.0,23.0,0.4,0.3,2.0,1.0,50.0,0.5,-0.5,400.0,489.0,81.8,6876.0,2162.0,1.0,0.4,0.3,1.0,31.0,5.0,19.0,1.0,16.0,1.0,3.0,13.0,2.0,13.0,9.0,5.0,2.0,6.0,9.0,11.0,0.0,91.0,11.0,11.0,10.0,8.0,9.0,1.0,39.0,33.3
2020-2021,2020-08-23,15:00,Ligue 1,Matchweek 1,Sun,Away,L,0,4,Nîmes,56.0,,Jean-Kevin Duverne,4-2-3-1,Jérémie Pignard,Match Report,,ligue_1,13,brest,fb08dbb3,10.0,3.0,30.0,0.0,0.0,15.4,0.8,1.7,5.0,1.0,20.0,2.5,-1.5,350.0,469.0,74.6,6872.0,2494.0,0.0,0.8,0.7,1.0,25.0,8.0,19.0,6.0,16.0,0.0,4.0,17.0,0.0,18.0,11.0,8.0,1.0,9.0,8.0,11.0,0.0,120.0,13.0,13.0,13.0,11.0,17.0,3.0,43.0,54.5
2020-2021,2020-08-30,21:00,Ligue 1,Matchweek 2,Sun,Home,L,2,3,Marseille,59.0,,Jean-Kevin Duverne,4-2-3-1,Amaury Delerue,Match Report,,ligue_1,13,brest,fb08dbb3,19.0,4.0,21.1,0.11,0.5,13.3,2.6,1.0,4.0,1.0,25.0,1.2,-1.8,451.0,575.0,78.4,8658.0,3319.0,2.0,2.1,1.9,7.0,48.0,15.0,45.0,5.0,37.0,2.0,10.0,30.0,4.0,21.0,15.0,11.0,5.0,5.0,9.0,9.0,0.0,209.0,13.0,18.0,22.0,9.0,17.0,3.0,56.0,46.4
2020-2021,2020-09-13,15:00,Ligue 1,Matchweek 3,Sun,Away,W,2,0,Dijon,50.0,,Jean-Kevin Duverne,4-2-3-1,Bastien Dechepy,Match Report,,ligue_1,13,brest,fb08dbb3,19.0,5.0,26.3,0.11,0.4,18.5,1.9,0.3,3.0,3.0,100.0,0.5,0.5,396.0,485.0,81.6,7690.0,2789.0,2.0,1.7,1.0,7.0,41.0,15.0,32.0,4.0,22.0,0.0,7.0,33.0,2.0,24.0,16.0,10.0,3.0,8.0,14.0,22.0,0.0,157.0,17.0,15.0,12.0,9.0,16.0,2.0,44.0,58.6
2020-2021,2020-09-20,15:00,Ligue 1,Matchweek 4,Sun,Home,W,3,2,Lorient,57.0,,Jean-Kevin Duverne,4-2-3-1,Karim Abed,Match Report,,ligue_1,13,brest,fb08dbb3,14.0,6.0,42.9,0.21,0.5,18.3,1.1,1.7,4.0,3.0,50.0,1.1,0.1,458.0,559.0,81.9,9521.0,3815.0,2.0,1.0,1.0,3.0,46.0,12.0,43.0,5.0,17.0,0.0,4.0,26.0,6.0,18.0,11.0,6.0,1.0,6.0,13.0,18.0,1.0,170.0,26.0,12.0,16.0,18.0,20.0,2.0,54.0,78.1
2020-2021,2020-09-27,15:00,Ligue 1,Matchweek 5,Sun,Away,L,2,3,Angers,47.0,,Jean-Kevin Duverne,4-2-3-1,Jeremy Stinat,Match Report,,ligue_1,13,brest,fb08dbb3,13.0,5.0,38.5,0.08,0.2,14.4,3.0,1.1,4.0,1.0,25.0,1.0,-2.0,385.0,501.0,76.8,7496.0,3022.0,1.0,1.6,1.6,5.0,38.0,9.0,38.0,3.0,12.0,0.0,1.0,24.0,4.0,29.0,19.0,15.0,4.0,17.0,16.0,19.0,0.0,144.0,12.0,9.0,12.0,6.0,21.0,1.0,68.0,65.0
2020-2021,2020-10-04,15:00,Ligue 1,Matchweek 6,Sun,Home,W,1,0,Monaco,29.0,,Jean-Kevin Duverne,4-2-3-1,Johan Hamel,Match Report,,ligue_1,13,brest,fb08dbb3,7.0,5.0,71.4,0.14,0.2,13.3,0.6,1.2,2.0,2.0,100.0,0.1,0.1,184.0,293.0,62.8,3784.0,1816.0,0.0,0.4,0.3,2.0,16.0,5.0,12.0,2.0,10.0,2.0,1.0,11.0,2.0,23.0,11.0,11.0,1.0,14.0,18.0,26.0,0.0,73.0,11.0,7.0,17.0,9.0,10.0,1.0,53.0,46.5
2020-2021,2020-10-18,15:00,Ligue 1,Matchweek 7,Sun,Away,L,1,3,Nantes,60.0,,Jean-Kevin Duverne,4-2-3-1,Jérémie Pignard,Match Report,,ligue_1,13,brest,fb08dbb3,14.0,5.0,35.7,0.07,0.2,18.7,1.1,1.4,8.0,5.0,62.5,2.1,-0.9,457.0,575.0,79.5,9155.0,3355.0,0.0,1.0,0.6,5.0,38.0,13.0,44.0,3.0,20.0,0.0,6.0,28.0,2.0,17.0,9.0,4.0,5.0,10.0,15.0,5.0,0.0,149.0,21.0,9.0,18.0,7.0,15.0,3.0,49.0,51.8
2020-2021,2020-10-25,15:00,Ligue 1,Matchweek 8,Sun,Home,L,0,3,Strasbourg,63.0,,Jean-Kevin Duverne,4-2-3-1,Jérôme Miguelgorry,Match Report,,ligue_1,13,brest,fb08dbb3,14.0,4.0,28.6,0.0,0.0,17.5,0.9,1.2,5.0,2.0,60.0,1.8,-1.2,524.0,645.0,81.2,9542.0,3362.0,0.0,0.8,1.7,7.0,59.0,12.0,47.0,9.0,35.0,0.0,12.0,26.0,0.0,5.0,3.0,4.0,0.0,8.0,15.0,3.0,0.0,201.0,34.0,18.0,15.0,13.0,8.0,3.0,58.0,51.2
2020-2021,2020-10-31,17:00,Ligue 1,Matchweek 9,Sat,Away,L,1,2,Rennes,32.0,,Jean-Kevin Duverne,4-4-2,Stéphanie Frappart,Match Report,,ligue_1,13,brest,fb08dbb3,9.0,4.0,44.4,0.11,0.25,17.2,1.1,1.4,8.0,6.0,75.0,1.3,-0.7,303.0,399.0,75.9,6140.0,1907.0,1.0,0.7,0.7,5.0,27.0,5.0,19.0,6.0,10.0,0.0,1.0,14.0,2.0,11.0,8.0,7.0,0.0,17.0,20.0,21.0,0.0,72.0,14.0,10.0,13.0,5.0,12.0,3.0,48.0,46.9
2020-2021,2020-11-08,13:00,Ligue 1,Matchweek 10,Sun,Home,W,3,2,Lille,37.0,,Jean-Kevin Duverne,4-4-2,Florent Batta,Match Report,,ligue_1,13,brest,fb08dbb3,12.0,8.0,66.7,0.25,0.38,12.3,1.3,3.0,7.0,5.0,85.7,2.6,0.6,260.0,352.0,73.9,5539.0,2416.0,3.0,1.3,1.2,5.0,19.0,11.0,17.0,3.0,18.0,0.0,3.0,24.0,6.0,12.0,9.0,7.0,0.0,10.0,12.0,25.0,0.0,91.0,7.0,8.0,11.0,4.0,13.0,1.0,40.0,31.6
