season,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,league_name,league_id,team_name,team_id,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-2015,2015-01-18,14:00,Ligue 1,Matchweek 21,Sun,Home,W,4,2,Evian,66.0,45561.0,Thiago Silva,4-3-3,Bartolomeu Varela,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-21,21:00,Coupe de France,Round of 32,Wed,Home,W,2,1,Bordeaux,,40000.0,,,Benoît Bastien,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-25,21:00,Ligue 1,Matchweek 22,Sun,Away,W,1,0,Saint-Étienne,61.0,32302.0,Thiago Silva,4-3-3,Ruddy Buquet,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-01-30,20:30,Ligue 1,Matchweek 23,Fri,Home,W,1,0,Rennes,55.0,44947.0,Thiago Silva,4-3-3,Philippe Kalt,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-08,21:00,Ligue 1,Matchweek 24,Sun,Away,D,1,1,Lyon,64.0,37581.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-11,21:00,Coupe de France,Round of 16,Wed,Home,W,2,0,Nantes,,35000.0,,,Stéphane Lannoy,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-14,16:00,Ligue 1,Matchweek 25,Sat,Home,D,2,2,Caen,60.0,45571.0,,4-3-3,Franck Schneider,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-17,20:45,Champions Lg,Round of 16,Tue,Home,D,1,1,eng Chelsea,54.0,45713.0,,4-3-3,Cüneyt Çakιr,Match Report,Leg 1 of 2,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-02-21,17:00,Ligue 1,Matchweek 26,Sat,Home,W,3,1,Toulouse,62.0,45628.0,,4-3-3,Amaury Delerue,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-01,21:00,Ligue 1,Matchweek 27,Sun,Away,D,0,0,Monaco,58.0,12065.0,,4-3-3,Bartolomeu Varela,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-04,21:00,Coupe de France,Quarter-finals,Wed,Home,W,2,0,Monaco,,45000.0,,,Clément Turpin,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-07,17:00,Ligue 1,Matchweek 28,Sat,Home,W,4,1,Lens,62.0,46279.0,,4-3-3,Wilfried Bien,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-11,19:45,Champions Lg,Round of 16,Wed,Away,D,2,2,eng Chelsea,49.0,37692.0,,4-3-3,Björn Kuipers,Match Report,Leg 2 of 2; Paris S-G won; Required Extra Time,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-15,17:00,Ligue 1,Matchweek 29,Sun,Away,L,2,3,Bordeaux,46.0,32236.0,,4-3-3,Lionel Jaffredo,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-03-20,20:30,Ligue 1,Matchweek 30,Fri,Home,W,3,1,Lorient,59.0,45705.0,,4-3-3,Tony Chapron,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-05,21:00,Ligue 1,Matchweek 31,Sun,Away,W,3,2,Marseille,50.0,65148.0,,4-3-3,Ruddy Buquet,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,2015-04-08,21:00,Coupe de France,Semi-finals,Wed,Home,W,4,1,Saint-Étienne,,43000.0,,,Frédy Fautrel,Match Report,,ligue_1,13,paris_saint_germain,e2d8892c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
