season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2019-2020,Angelo Fulgini,fr FRA,MF,22.0,20.0,19.0,1579.0,17.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.06,0.06,0.11,0.06,0.11,Matches,ligue_1,13,angers,69236f98,3.1,3.1,2.6,5.7,56.0,106.0,76.0,0.18,0.15,0.32,0.18,0.32
2019-2020,Rachid Alioui,ma MAR,FW,27.0,28.0,17.0,1563.0,17.4,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.35,0.06,0.4,0.35,0.4,Matches,ligue_1,13,angers,69236f98,5.2,5.2,1.3,6.5,24.0,35.0,108.0,0.3,0.07,0.37,0.3,0.37
2019-2020,Mathias Pereira Lage,pt POR,MF,22.0,25.0,17.0,1542.0,17.1,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.06,0.18,0.23,0.06,0.23,Matches,ligue_1,13,angers,69236f98,1.7,1.7,2.9,4.6,49.0,50.0,136.0,0.1,0.17,0.27,0.1,0.27
2019-2020,Rayan Aït-Nouri,dz ALG,DF,18.0,17.0,16.0,1282.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,ligue_1,13,angers,69236f98,0.2,0.2,0.7,0.8,45.0,56.0,69.0,0.01,0.05,0.06,0.01,0.06
2019-2020,Sada Thioub,sn SEN,"MF,FW",24.0,23.0,15.0,1508.0,16.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches,ligue_1,13,angers,69236f98,1.0,1.0,2.3,3.3,84.0,76.0,170.0,0.06,0.14,0.2,0.06,0.2
2019-2020,Stéphane Bahoken,cm CMR,FW,27.0,20.0,10.0,907.0,10.1,4.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,0.4,0.0,0.4,0.3,0.3,Matches,ligue_1,13,angers,69236f98,3.4,2.6,0.6,3.2,16.0,8.0,74.0,0.33,0.06,0.39,0.26,0.31
2019-2020,Mateo Pavlović,ba BIH,DF,29.0,11.0,8.0,812.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.8,0.8,0.2,1.0,0.0,17.0,5.0,0.09,0.03,0.12,0.09,0.12
2019-2020,Antonin Bobichon,fr FRA,MF,23.0,11.0,8.0,649.0,7.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.28,0.14,0.42,0.28,0.42,Matches,ligue_1,13,angers,69236f98,1.0,1.0,0.6,1.6,20.0,42.0,24.0,0.14,0.09,0.23,0.14,0.23
2019-2020,Casimir Ninga,td CHA,"MF,FW",26.0,16.0,6.0,683.0,7.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,0.4,0.13,0.53,0.4,0.53,Matches,ligue_1,13,angers,69236f98,3.2,3.2,1.1,4.3,30.0,21.0,63.0,0.42,0.14,0.56,0.42,0.56
2019-2020,Abdoulaye Bamba,ci CIV,DF,29.0,7.0,6.0,554.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.2,0.2,9.0,15.0,23.0,0.0,0.03,0.03,0.0,0.03
2019-2020,Souleyman Doumbia,ci CIV,DF,22.0,5.0,5.0,450.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.2,0.2,22.0,19.0,16.0,0.0,0.05,0.05,0.0,0.05
2019-2020,Théo Pellenard,fr FRA,DF,25.0,8.0,4.0,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.3,0.3,12.0,21.0,27.0,0.0,0.05,0.05,0.0,0.05
2019-2020,Farid El Melali,dz ALG,"MF,FW",22.0,8.0,4.0,306.0,3.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.88,0.0,0.88,0.88,0.88,Matches,ligue_1,13,angers,69236f98,1.4,1.4,0.1,1.5,10.0,4.0,23.0,0.41,0.02,0.44,0.41,0.44
2019-2020,Danijel Petković,me MNE,GK,26.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Vincent Pajot,fr FRA,MF,28.0,6.0,1.0,113.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,Matches,ligue_1,13,angers,69236f98,0.1,0.1,0.4,0.5,3.0,1.0,5.0,0.11,0.31,0.42,0.11,0.42
2019-2020,Jeff Reine-Adélaïde,fr FRA,MF,21.0,1.0,1.0,79.0,0.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.14,1.14,2.28,1.14,2.28,Matches,ligue_1,13,angers,69236f98,0.8,0.8,0.3,1.1,4.0,6.0,2.0,0.86,0.34,1.2,0.86,1.2
2019-2020,Ibrahim Cissé,sn SEN,DF,23.0,1.0,1.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.1,0.1,1.0,1.0,2.0,0.0,0.13,0.13,0.0,0.13
2019-2020,Zinédine Ould Khaled,fr FRA,MF,19.0,1.0,1.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Wilfried Kanga,ci CIV,FW,21.0,4.0,0.0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,angers,69236f98,0.4,0.4,0.1,0.5,1.0,2.0,7.0,0.51,0.15,0.67,0.51,0.67
2019-2020,Anthony Mandrea,dz ALG,GK,22.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,angers,69236f98,,,,,,,,,,,,
2019-2020,Jason Mbock,fr FRA,FW,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,angers,69236f98,,,,,,,,,,,,
2019-2020,Mazire Soula,fr FRA,FW,21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,angers,69236f98,,,,,,,,,,,,
2019-2020,Squad Total,,,28.0,28.0,308.0,2520.0,28.0,27.0,21.0,48.0,26.0,1.0,1.0,42.0,2.0,0.96,0.75,1.71,0.93,1.68,,ligue_1,13,angers,69236f98,29.3,28.5,23.0,51.5,542.0,1088.0,1080.0,1.05,0.82,1.87,1.02,1.84
2019-2020,Opponent Total,,,26.2,28.0,308.0,2520.0,28.0,33.0,25.0,58.0,30.0,3.0,3.0,47.0,0.0,1.18,0.89,2.07,1.07,1.96,,ligue_1,13,angers,69236f98,28.4,26.1,21.6,47.7,569.0,1308.0,1301.0,1.01,0.77,1.79,0.93,1.7
2019-2020,Benoît Costil,fr FRA,GK,32.0,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Otávio,br BRA,MF,25.0,25.0,25.0,2211.0,24.6,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.08,0.12,0.2,0.08,0.2,Matches,ligue_1,13,bordeaux,123f3efe,0.8,0.8,0.9,1.6,13.0,84.0,15.0,0.03,0.03,0.07,0.03,0.07
2019-2020,Laurent Koscielny,fr FRA,DF,33.0,25.0,25.0,2183.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.4,0.4,0.0,0.4,5.0,56.0,3.0,0.01,0.0,0.02,0.01,0.02
2019-2020,Pablo,br BRA,DF,28.0,25.0,25.0,2173.0,24.1,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,ligue_1,13,bordeaux,123f3efe,1.9,1.9,0.1,2.0,6.0,58.0,4.0,0.08,0.0,0.08,0.08,0.08
2019-2020,Nicolas de Préville,fr FRA,"MF,FW",28.0,24.0,23.0,1995.0,22.2,6.0,4.0,10.0,5.0,1.0,1.0,4.0,0.0,0.27,0.18,0.45,0.23,0.41,Matches,ligue_1,13,bordeaux,123f3efe,5.0,4.3,4.8,9.1,80.0,88.0,159.0,0.22,0.22,0.44,0.19,0.41
2019-2020,Loris Benito,ch SUI,DF,27.0,23.0,21.0,1896.0,21.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,ligue_1,13,bordeaux,123f3efe,0.8,0.8,0.9,1.7,50.0,119.0,73.0,0.04,0.04,0.08,0.04,0.08
2019-2020,Hwang Ui-jo,kr KOR,"FW,MF",26.0,24.0,19.0,1633.0,18.1,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,0.33,0.11,0.44,0.33,0.44,Matches,ligue_1,13,bordeaux,123f3efe,4.0,4.0,1.0,5.0,34.0,31.0,112.0,0.22,0.06,0.27,0.22,0.27
2019-2020,Jimmy Briand,fr FRA,FW,33.0,22.0,18.0,1525.0,16.9,7.0,1.0,8.0,6.0,1.0,1.0,1.0,0.0,0.41,0.06,0.47,0.35,0.41,Matches,ligue_1,13,bordeaux,123f3efe,5.2,4.5,0.8,5.3,9.0,15.0,73.0,0.31,0.05,0.36,0.26,0.31
2019-2020,Mexer,mz MOZ,DF,30.0,19.0,16.0,1488.0,16.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,ligue_1,13,bordeaux,123f3efe,0.5,0.5,0.2,0.7,7.0,45.0,5.0,0.03,0.01,0.04,0.03,0.04
2019-2020,Samuel Kalu,ng NGA,"DF,FW",21.0,20.0,15.0,1357.0,15.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches,ligue_1,13,bordeaux,123f3efe,2.7,2.7,1.4,4.1,54.0,44.0,130.0,0.18,0.09,0.27,0.18,0.27
2019-2020,Aurélien Tchouaméni,fr FRA,MF,19.0,15.0,13.0,1110.0,12.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,ligue_1,13,bordeaux,123f3efe,0.7,0.7,0.3,1.0,9.0,88.0,6.0,0.06,0.02,0.08,0.06,0.08
2019-2020,Enock Kwateng,fr FRA,DF,22.0,14.0,13.0,983.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,ligue_1,13,bordeaux,123f3efe,0.4,0.4,0.3,0.7,15.0,33.0,40.0,0.04,0.03,0.06,0.04,0.06
2019-2020,Yacine Adli,fr FRA,MF,19.0,21.0,11.0,1020.0,11.3,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.26,0.26,0.53,0.26,0.53,Matches,ligue_1,13,bordeaux,123f3efe,0.8,0.8,2.2,3.0,38.0,65.0,47.0,0.07,0.19,0.26,0.07,0.26
2019-2020,Toma Bašić,hr CRO,MF,22.0,15.0,11.0,991.0,11.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.09,0.27,0.36,0.09,0.36,Matches,ligue_1,13,bordeaux,123f3efe,0.8,0.8,2.7,3.5,19.0,77.0,24.0,0.07,0.24,0.31,0.07,0.31
2019-2020,Youssouf Sabaly,sn SEN,DF,26.0,12.0,10.0,913.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,ligue_1,13,bordeaux,123f3efe,0.2,0.2,1.3,1.5,25.0,41.0,53.0,0.02,0.13,0.15,0.02,0.15
2019-2020,François Kamano,gn GUI,"DF,MF",23.0,11.0,7.0,648.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,ligue_1,13,bordeaux,123f3efe,0.8,0.8,0.3,1.1,31.0,18.0,69.0,0.1,0.05,0.15,0.1,0.15
2019-2020,Josh Maja,ng NGA,FW,20.0,21.0,6.0,735.0,8.2,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.73,0.24,0.98,0.73,0.98,Matches,ligue_1,13,bordeaux,123f3efe,3.6,3.6,1.4,5.0,9.0,8.0,58.0,0.44,0.17,0.61,0.44,0.61
2019-2020,Youssef Aït Bennasser,ma MAR,MF,23.0,12.0,6.0,536.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,ligue_1,13,bordeaux,123f3efe,0.1,0.1,0.1,0.2,6.0,47.0,6.0,0.01,0.02,0.03,0.01,0.03
2019-2020,Vukašin Jovanović,rs SRB,DF,23.0,9.0,5.0,573.0,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.3,0.3,4.0,27.0,0.0,0.0,0.04,0.04,0.0,0.04
2019-2020,Remi Oudin,fr FRA,"FW,MF",22.0,8.0,5.0,562.0,6.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,Matches,ligue_1,13,bordeaux,123f3efe,1.7,1.7,1.6,3.3,9.0,24.0,67.0,0.27,0.26,0.53,0.27,0.53
2019-2020,Jonathan Cafu,br BRA,DF,28.0,3.0,2.0,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.1,0.2,8.0,2.0,16.0,0.02,0.05,0.07,0.02,0.07
2019-2020,Rubén Pardo,es ESP,MF,26.0,6.0,1.0,188.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,ligue_1,13,bordeaux,123f3efe,0.1,0.1,0.1,0.2,4.0,12.0,4.0,0.07,0.03,0.1,0.07,0.1
2019-2020,Yassine Benrahou,fr FRA,"FW,MF",20.0,6.0,1.0,168.0,1.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.07,0.0,1.07,Matches,ligue_1,13,bordeaux,123f3efe,0.2,0.2,0.9,1.1,4.0,8.0,20.0,0.13,0.47,0.6,0.13,0.6
2019-2020,Raoul Bellanova,it ITA,DF,19.0,1.0,1.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Albert Lottin,fr FRA,MF,17.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Maxime Poundjé,fr FRA,DF,26.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,bordeaux,123f3efe,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Gaëtan Poussin,fr FRA,GK,20.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2019-2020,Paul Baysse,fr FRA,DF,31.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2019-2020,Davy Rouyard,gp GLP,GK,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2019-2020,Mehdi Zerkane,dz ALG,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,bordeaux,123f3efe,,,,,,,,,,,,
2019-2020,Squad Total,,,26.9,28.0,308.0,2520.0,28.0,40.0,29.0,69.0,38.0,2.0,2.0,55.0,0.0,1.43,1.04,2.46,1.36,2.39,,ligue_1,13,bordeaux,123f3efe,30.4,28.8,21.6,50.4,441.0,995.0,989.0,1.08,0.77,1.86,1.03,1.8
2019-2020,Opponent Total,,,25.9,28.0,308.0,2520.0,28.0,33.0,28.0,61.0,31.0,2.0,3.0,65.0,8.0,1.18,1.0,2.18,1.11,2.11,,ligue_1,13,bordeaux,123f3efe,36.9,34.6,28.5,63.0,580.0,1053.0,1048.0,1.32,1.02,2.34,1.23,2.25
2019-2020,Alban Lafont,fr FRA,GK,20.0,27.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Andrei Girotto,br BRA,DF,27.0,25.0,25.0,2177.0,24.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,ligue_1,13,nantes,d7a486cd,1.3,1.3,0.4,1.7,9.0,65.0,2.0,0.05,0.02,0.07,0.05,0.07
2019-2020,Moses Simon,ng NGA,"FW,MF",24.0,26.0,25.0,2177.0,24.2,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,0.21,0.21,0.41,0.21,0.41,Matches,ligue_1,13,nantes,d7a486cd,6.6,6.6,4.7,11.3,144.0,58.0,232.0,0.27,0.2,0.47,0.27,0.47
2019-2020,Abdoulaye Touré,gn GUI,MF,25.0,27.0,24.0,2221.0,24.7,3.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.12,0.0,0.12,0.04,0.04,Matches,ligue_1,13,nantes,d7a486cd,3.1,1.5,1.2,2.6,34.0,130.0,30.0,0.12,0.05,0.17,0.06,0.11
2019-2020,Imran Louza,ma MAR,"MF,FW",20.0,24.0,22.0,2009.0,22.3,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,ligue_1,13,nantes,d7a486cd,1.7,1.7,4.2,5.9,31.0,100.0,103.0,0.08,0.19,0.27,0.08,0.27
2019-2020,Ludovic Blas,fr FRA,"FW,MF",21.0,24.0,22.0,1845.0,20.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.24,0.05,0.29,0.24,0.29,Matches,ligue_1,13,nantes,d7a486cd,4.0,4.0,1.6,5.6,53.0,92.0,112.0,0.2,0.08,0.28,0.2,0.28
2019-2020,Nicolas Pallois,fr FRA,DF,31.0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,1.3,1.3,0.1,1.4,15.0,68.0,1.0,0.06,0.0,0.07,0.06,0.07
2019-2020,Mehdi Abeid,dz ALG,MF,26.0,25.0,20.0,1817.0,20.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches,ligue_1,13,nantes,d7a486cd,1.5,1.5,1.8,3.3,25.0,104.0,42.0,0.07,0.09,0.16,0.07,0.16
2019-2020,Charles Traore,ml MLI,DF,27.0,20.0,20.0,1738.0,19.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.3,0.5,22.0,81.0,23.0,0.01,0.02,0.02,0.01,0.02
2019-2020,Kalifa Coulibaly,ml MLI,FW,27.0,21.0,18.0,1616.0,18.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,ligue_1,13,nantes,d7a486cd,6.1,6.1,0.6,6.7,23.0,21.0,124.0,0.34,0.03,0.37,0.34,0.37
2019-2020,Dennis Appiah,fr FRA,DF,27.0,19.0,18.0,1605.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.4,0.4,23.0,67.0,32.0,0.0,0.02,0.02,0.0,0.02
2019-2020,Abdoul Kader Bamba,fr FRA,"FW,MF",25.0,27.0,16.0,1468.0,16.3,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.06,0.18,0.25,0.06,0.25,Matches,ligue_1,13,nantes,d7a486cd,2.0,2.0,5.0,7.0,82.0,58.0,137.0,0.12,0.31,0.43,0.12,0.43
2019-2020,Fábio,br BRA,DF,29.0,10.0,10.0,834.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.4,0.4,23.0,36.0,25.0,0.01,0.04,0.05,0.01,0.05
2019-2020,Molla Wagué,ml MLI,DF,28.0,9.0,8.0,682.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.2,0.2,0.1,0.3,1.0,9.0,1.0,0.03,0.01,0.03,0.03,0.03
2019-2020,Cristian Benavente,pe PER,"MF,FW",25.0,12.0,4.0,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,ligue_1,13,nantes,d7a486cd,0.4,0.4,0.9,1.3,4.0,22.0,35.0,0.11,0.22,0.33,0.11,0.33
2019-2020,Rene Krhin,si SVN,"DF,MF",29.0,8.0,4.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.0,0.1,0.0,6.0,1.0,0.02,0.0,0.02,0.02,0.02
2019-2020,Samuel Moutoussamy,cd COD,"DF,MF",22.0,18.0,3.0,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.3,0.3,0.6,0.9,15.0,38.0,42.0,0.05,0.11,0.16,0.05,0.16
2019-2020,Thomas Basila,fr FRA,DF,20.0,7.0,3.0,415.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.2,0.3,4.0,13.0,8.0,0.02,0.04,0.06,0.02,0.06
2019-2020,Renaud Emond,be BEL,FW,27.0,6.0,3.0,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.6,0.6,0.1,0.7,5.0,10.0,17.0,0.2,0.02,0.22,0.2,0.22
2019-2020,Lucas Lima,br BRA,"FW,DF",27.0,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.1,0.1,0.3,0.4,12.0,19.0,14.0,0.05,0.1,0.15,0.05,0.15
2019-2020,Valentin Rongier,fr FRA,MF,24.0,3.0,3.0,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,ligue_1,13,nantes,d7a486cd,0.3,0.3,0.7,0.9,5.0,23.0,12.0,0.1,0.22,0.31,0.1,0.31
2019-2020,Percy Prado,pe PER,DF,23.0,3.0,2.0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.01,0.01,0.0,0.01
2019-2020,Elie Youan,fr FRA,"FW,MF",20.0,5.0,2.0,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.3,0.3,0.0,0.4,6.0,2.0,18.0,0.19,0.02,0.21,0.19,0.21
2019-2020,Anthony Limbombe,be BEL,"FW,MF",25.0,4.0,2.0,151.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches,ligue_1,13,nantes,d7a486cd,0.4,0.4,0.2,0.6,9.0,2.0,15.0,0.26,0.1,0.36,0.26,0.36
2019-2020,Denis Petrić,rs SRB,GK,31.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Wesley Moustache,fr FRA,DF,20.0,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Marcus Coco,fr FRA,FW,23.0,1.0,1.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Josué Homawoo,fr FRA,DF,21.0,1.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-2020,Roli Pereira de Sa,fr FRA,MF,22.0,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,nantes,d7a486cd,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.38,2.72,3.1,0.38,3.1
2019-2020,Joris Kayembe,cd COD,"DF,FW",24.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,nantes,d7a486cd,,,,,,,,,,,,
