season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,Matches,league_name,league_id,team_name,team_id,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90
2014-2015,Jérémie Porsan-Clémenté,fr FRA,FW,16.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Gaël Andonian,am ARM,DF,19.0,1.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Laurent Abergel,fr FRA,"DF,MF",21.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Momar Bangoura,fr FRA,MF,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Benoît Cheyrou,fr FRA,MF,33.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Dória,br BRA,DF,19.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Sénah Mango,tg TOG,DF,22.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Brice Samba,fr FRA,GK,20.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Alphousseyni Sané,sn SEN,DF,18.0,0.0,0.0,,,,,,,,,,,,,,,,Matches,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Squad Total,,,25.6,38.0,418.0,3420.0,38.0,72.0,45.0,117.0,70.0,2.0,4.0,0.0,0.0,1.89,1.18,3.08,1.84,3.03,,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Opponent Total,,,26.2,38.0,418.0,3420.0,38.0,41.0,22.0,63.0,37.0,4.0,4.0,62.0,1.0,1.08,0.58,1.66,0.97,1.55,,ligue_1,13,marseille,5725cc7b,,,,,,,,,,,,
2014-2015,Stéphane Ruffier,fr FRA,GK,27.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Fabien Lemoine,fr FRA,MF,27.0,35.0,31.0,2810.0,31.2,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Kévin Théophile-Catherine,fr FRA,DF,24.0,31.0,30.0,2705.0,30.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Franck Tabanou,fr FRA,"DF,FW",25.0,31.0,30.0,2611.0,29.0,1.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,0.03,0.17,0.21,0.03,0.21,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Jérémy Clément,fr FRA,MF,29.0,29.0,28.0,2482.0,27.6,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Loïc Perrin,fr FRA,"DF,MF",28.0,28.0,27.0,2439.0,27.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
2014-2015,Max Gradel,ci CIV,"FW,MF",26.0,31.0,23.0,2195.0,24.4,17.0,3.0,20.0,13.0,4.0,5.0,6.0,0.0,0.7,0.12,0.82,0.53,0.66,Matches,ligue_1,13,saint_etienne,d298ef2c,,,,,,,,,,,,
